exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Hacienda El Sol,Fattoria Toscana,Maroc,Souss-Massa,,Orge,522.0299346181417,5350.682088132383,Standard
Dairy Meadows,Domaine Provence Bio,Maroc,Marrakech-Safi,,Olives à Huile,197.95801378046545,26842.362643397835,Premium
Ferme Al Baraka,Domaine Provence Bio,Maroc,São Paulo,,Deglet Nour,37.18840277896602,18713.05772943594,Premium
Marché Wholesale Agadir,Hacienda El Sol,Espagne,Souss-Massa,,Courgettes,463.29038039307454,27307.914680338465,Standard
Coopérative Oasis,Dairy Meadows,Tunisie,Andalousie,,Pamplemousses,433.3787050859178,3320.769106114997,Premium
Coopérative Oasis,Union Agricole Méditerranée,Tunisie,Californie,,Raisins de Cuve,230.4885206266236,3084.5551907205595,Standard
Union Agricole Méditerranée,Marché Wholesale Agadir,USA,Toscane,,Fromage,157.45983652802872,961.9112831357739,Standard
Rungis International,Rungis International,France,Meknès-Fès,,Raisins de Cuve,399.85817083451457,1524.086796358121,Bio Certifié
Green Valley Farm,Fazenda Brasil,Maroc,Andalousie,,Robusta,612.3096240841732,5033.411144954739,Standard
Coopérative Oasis,Domaine Provence Bio,Tunisie,Kansas,,Oignons,234.49751028026083,3597.8413557483314,Standard
Dairy Meadows,Green Valley Farm,Espagne,Provence,,Riz,201.103229967834,2383.271283874616,Premium
Dairy Meadows,Hacienda El Sol,Tunisie,Kansas,,Olives de Table,133.04783367086856,-257.988433389203,Bio Certifié
Rungis International,Marché Wholesale Agadir,Maroc,Toscane,,Raisins de Table,1084.7375845825452,2868.0543309826035,Bio Certifié
Dairy Meadows,Fazenda Brasil,USA,Catalogne,,Raisins de Table,418.66864963735156,3961.7977056428913,Premium
Coopérative Oasis,Fattoria Toscana,Maroc,Meknès-Fès,,Mandarines,259.61014263334346,4545.616790108034,Standard
Dairy Meadows,Coopérative Oasis,Italie,Andalousie,,Blé,207.16629627204867,-327.62413948025005,Premium
Cooperative Grains Alliance,Coopérative Oasis,France,Toscane,,Raisins de Table,268.66372643174344,3272.110015850397,Premium
Mercabarna,Green Valley Farm,USA,Kansas,,Raisins de Table,197.56167868027478,2535.6586848340676,Premium
Fattoria Toscana,Coopérative Oasis,USA,Californie,,Tomates,550.3012937606194,1084.862671567963,Bio Certifié
Dairy Meadows,Rungis International,USA,Toscane,,Pommes,185.99029584739313,1736.9725614986112,Bio Certifié
Cooperative Grains Alliance,Domaine Provence Bio,France,Catalogne,,Raisins de Table,27.60226999369103,1229.643004632463,Premium
Fazenda Brasil,Fazenda Brasil,Tunisie,Marrakech-Safi,,Yaourt,246.45157907824677,1640.872518860212,Premium
Fattoria Toscana,Domaine Saada,Maroc,Catalogne,,Salades,66.42362438730666,2672.6022751110586,Bio Certifié
Fattoria Toscana,Domaine Provence Bio,Brésil,Kansas,,Olives de Table,139.6809250584862,4721.99005162274,Standard
Domaine Provence Bio,Union Agricole Méditerranée,France,Canterbury,,Olives à Huile,101.08502386192433,2918.0773869251616,Bio Certifié
Fazenda Brasil,Union Agricole Méditerranée,Tunisie,Sfax,,Raisins de Cuve,1062.3534372492393,5421.067600078739,Commerce Équitable
Green Valley Farm,Marché Wholesale Agadir,Maroc,Provence,,Deglet Nour,127.38142058438578,3101.106587025298,Bio Certifié
Domaine Provence Bio,Rungis International,France,Souss-Massa,,Raisins de Table,152.03136617839604,3189.962776995786,Premium
Cooperative Grains Alliance,Fattoria Toscana,Maroc,Kansas,,Pommes de terre,59.35579858715506,2777.199761919471,Premium
Rungis International,Fattoria Toscana,Brésil,Kansas,,Pommes de terre,145.42536487957048,4953.14946308268,Standard
Domaine Provence Bio,Fazenda Brasil,France,São Paulo,,Tomates,155.78829378761458,2137.4444325945547,Bio Certifié
Domaine Provence Bio,Dairy Meadows,Brésil,Andalousie,,Arabica,297.96894760217225,2066.368242689875,Bio Certifié
Domaine Saada,Dairy Meadows,Tunisie,Sfax,,Blé,96.76709637723565,1747.118659277376,Commerce Équitable
Ferme Al Baraka,Fazenda Brasil,Maroc,Andalousie,,Pommes de terre,37.58264943566948,1811.1734180376818,Bio Certifié
Dairy Meadows,Fattoria Toscana,Italie,Catalogne,,Tomates,62.134977497431606,1940.1793490689047,Standard
Hacienda El Sol,Dairy Meadows,Tunisie,São Paulo,,Yaourt,178.96034762633815,3655.7315070047202,Bio Certifié
Fazenda Brasil,Domaine Provence Bio,France,Meknès-Fès,,Blé,28.940681987178625,3987.5923410234573,Bio Certifié
Dairy Meadows,Green Valley Farm,Nouvelle-Zélande,Californie,,Tomates,281.12900515794036,5820.314987444752,Standard
Green Valley Farm,Cooperative Grains Alliance,Italie,Meknès-Fès,,Riz,-28.15959862639489,3179.6915340429423,Premium
Domaine Provence Bio,Green Valley Farm,Tunisie,São Paulo,,Pommes de terre,566.9474419043515,5169.1500706043935,Bio Certifié
Fattoria Toscana,Fazenda Brasil,Maroc,Canterbury,,Oranges,157.98585736744036,23104.795409853894,Standard
Domaine Provence Bio,Green Valley Farm,Brésil,Sfax,,Riz,188.648727613048,3483.5095571670654,Premium
Coopérative Oasis,Domaine Saada,Nouvelle-Zélande,Canterbury,,Pamplemousses,208.48120633430173,2786.2633375374076,Bio Certifié
Fazenda Brasil,Cooperative Grains Alliance,Nouvelle-Zélande,Sfax,,Lait,32.79526344345283,920.6297985776271,Standard
Dairy Meadows,Union Agricole Méditerranée,Tunisie,Californie,,Medjool,82.60474520208373,409.76505311233484,Standard
Domaine Saada,Ferme Al Baraka,Maroc,Souss-Massa,,Raisins de Cuve,18.06061711373028,250.21480534529428,Standard
Cooperative Grains Alliance,Mercabarna,France,Andalousie,,Arabica,158.20510120549585,1423.528635252088,Commerce Équitable
Fazenda Brasil,Ferme Al Baraka,Espagne,Île-de-France,,Robusta,122.53961489864139,22378.693224229766,Commerce Équitable
Ferme Al Baraka,Marché Wholesale Agadir,Maroc,Toscane,,Olives de Table,29.384439105692856,12567.90791840282,Bio Certifié
Fattoria Toscana,Dairy Meadows,Espagne,Meknès-Fès,,Raisins de Table,492.4686970399455,5512.209448135023,Bio Certifié
Green Valley Farm,Union Agricole Méditerranée,Maroc,Île-de-France,,Olives à Huile,300.6397112403768,1959.220964437356,Bio Certifié
Rungis International,Mercabarna,France,Meknès-Fès,,Pommes,-6.04367769266937,3504.3596894519806,Standard
Union Agricole Méditerranée,Ferme Al Baraka,Nouvelle-Zélande,Catalogne,,Citrons,248.3700636376468,2145.1701657630274,Bio Certifié
Mercabarna,Dairy Meadows,Maroc,Île-de-France,,Medjool,140.90378798806984,2951.4595738592307,Bio Certifié
Green Valley Farm,Dairy Meadows,Maroc,Meknès-Fès,,Beurre,52.31004208736953,2433.854911966301,Standard
Domaine Provence Bio,Hacienda El Sol,Espagne,Sfax,,Oranges,53.302498834453544,1344.9358125000645,Bio Certifié
Marché Wholesale Agadir,Mercabarna,Maroc,Souss-Massa,,Blé,42.089787778128866,3731.5234859158018,Bio Certifié
Cooperative Grains Alliance,Domaine Provence Bio,Tunisie,Meknès-Fès,,Salades,64.23392658958566,684.0826603789941,Bio Certifié
Dairy Meadows,Fazenda Brasil,Brésil,Andalousie,,Beurre,181.43176850270308,3245.6731059676763,Bio Certifié
Coopérative Oasis,Domaine Provence Bio,USA,Catalogne,,Deglet Nour,278.47500839474355,4693.750785852083,Premium
Domaine Saada,Domaine Saada,Nouvelle-Zélande,Provence,,Bananes,-8.971269350905494,1837.1722278010636,Standard
Fazenda Brasil,Coopérative Oasis,Tunisie,Provence,,Raisins de Cuve,142.9443197539372,2526.362953599649,Standard
Ferme Al Baraka,Marché Wholesale Agadir,Espagne,Californie,,Pommes,83.62842303866378,2803.5489640840715,Bio Certifié
Dairy Meadows,Dairy Meadows,Maroc,Californie,,Pamplemousses,315.95503334656496,3588.3901727954926,Commerce Équitable
Domaine Saada,Union Agricole Méditerranée,Espagne,Souss-Massa,,Pamplemousses,252.10427723361053,1637.5657909324202,Premium
Mercabarna,Coopérative Oasis,USA,Sfax,,Blé,52.73582911007057,12681.394812958877,Standard
Cooperative Grains Alliance,Fattoria Toscana,France,Île-de-France,,Medjool,80.42256635137933,2812.21206363109,Bio Certifié
Domaine Saada,Green Valley Farm,Espagne,Provence,,Tomates,70.9392221686162,515.200226422591,Bio Certifié
Hacienda El Sol,Rungis International,France,Californie,,Mandarines,163.63004585567543,4459.6463139487305,Bio Certifié
Cooperative Grains Alliance,Marché Wholesale Agadir,Maroc,Andalousie,,Olives de Table,26.37126682523472,15405.14629502915,Standard
Mercabarna,Ferme Al Baraka,Italie,Toscane,,Mandarines,889.0642237753206,1517.6211717899278,Bio Certifié
Ferme Al Baraka,Fattoria Toscana,France,Souss-Massa,,Medjool,586.8737346204196,1222.8394860101987,Bio Certifié
Coopérative Oasis,Mercabarna,Tunisie,Souss-Massa,,Raisins de Cuve,266.70909231592395,608.3541460693277,Bio Certifié
Dairy Meadows,Ferme Al Baraka,Maroc,Provence,,Robusta,95.02448801586715,4236.007109591178,Commerce Équitable
Green Valley Farm,Fattoria Toscana,Maroc,Meknès-Fès,,Deglet Nour,162.17978292017952,3357.2755283735933,Bio Certifié
Marché Wholesale Agadir,Cooperative Grains Alliance,Maroc,Andalousie,,Riz,168.67134985226318,4234.7200043493485,Bio Certifié
Coopérative Oasis,Domaine Provence Bio,Espagne,Andalousie,,Mandarines,96.48264822372553,2338.7987456899045,Bio Certifié
Rungis International,Fattoria Toscana,USA,Sfax,,Olives à Huile,159.0985819941509,11564.48148263792,Premium
Mercabarna,Marché Wholesale Agadir,France,Sfax,,Arabica,-19.941359997453155,3797.1137731354183,Bio Certifié
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Andalousie,,Oignons,123.35819862278913,11519.24955206057,Premium
Mercabarna,Fazenda Brasil,Maroc,Sfax,,Tomates,116.52983088874407,1460.5275300338722,Premium
