exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Union Agricole Méditerranée,Green Valley Farm,Espagne,Île-de-France,0.0,Tomates,268.4882775072113,3766.729569434894,Premium
Domaine Provence Bio,Hacienda El Sol,Italie,Meknès-Fès,0.0,Pamplemousses,180.4158363688311,10569.733007845854,Premium
Marché Wholesale Agadir,Hacienda El Sol,Italie,Catalogne,0.0,Raisins de Table,105.81237771647993,3911.9490348129857,Standard
Ferme Al Baraka,Coopérative Oasis,Tunisie,Marrakech-Safi,0.0,Pamplemousses,137.09535746434386,3626.1732822223275,Premium
Domaine Provence Bio,Marché Wholesale Agadir,Maroc,Californie,0.0,Orge,75.67486638618612,2250.6591114747716,Commerce Équitable
Domaine Provence Bio,Green Valley Farm,Espagne,Catalogne,0.0,Pommes,835.844742981249,3827.1293303839757,Bio Certifié
Cooperative Grains Alliance,Fattoria Toscana,USA,Canterbury,0.0,Beurre,261.83498001777616,593.1794180905185,Premium
Fazenda Brasil,Green Valley Farm,Italie,Île-de-France,0.0,Citrons,178.13377633439381,2540.4776248841945,Premium
Cooperative Grains Alliance,Mercabarna,Tunisie,Kansas,0.0,Deglet Nour,30.675247574330804,3863.5658588889683,Bio Certifié
Cooperative Grains Alliance,Ferme Al Baraka,Maroc,Provence,0.0,Pommes,134.28566387659987,339.2310540630077,Bio Certifié
Dairy Meadows,Domaine Saada,USA,Kansas,0.0,Fromage,209.98495671702045,1714.8636623061504,Premium
Fattoria Toscana,Fazenda Brasil,Tunisie,Kansas,0.0,Raisins de Table,112.61404833306926,3520.319385019634,Premium
Green Valley Farm,Coopérative Oasis,France,Île-de-France,0.0,Olives à Huile,147.03784281422432,3337.1607009068684,Bio Certifié
Rungis International,Domaine Provence Bio,Maroc,Toscane,0.0,Medjool,74.87373551975679,881.3941569456719,Bio Certifié
Marché Wholesale Agadir,Fattoria Toscana,France,Île-de-France,0.0,Mandarines,89.3622854092509,2574.9680309010364,Bio Certifié
Fazenda Brasil,Domaine Saada,USA,Toscane,0.0,Carottes,51.13463880055603,-137.89689145241164,Bio Certifié
Dairy Meadows,Marché Wholesale Agadir,USA,Toscane,0.0,Robusta,558.0099192195306,3870.0681498520016,Bio Certifié
Mercabarna,Coopérative Oasis,USA,Catalogne,0.0,Orge,-0.0316712007253912,3979.345864999963,Bio Certifié
Marché Wholesale Agadir,Fattoria Toscana,Tunisie,Californie,0.0,Salades,228.3211683289807,4899.748779506405,Premium
Cooperative Grains Alliance,Marché Wholesale Agadir,Italie,Catalogne,0.0,Mandarines,1278.0449887557866,220.03688838956418,Commerce Équitable
Fattoria Toscana,Hacienda El Sol,USA,Kansas,0.0,Raisins de Table,536.56927248541,3628.1304926891594,Standard
Fazenda Brasil,Dairy Meadows,Italie,Souss-Massa,0.0,Mandarines,170.5345738666844,1320.0856232204303,Bio Certifié
Domaine Saada,Fattoria Toscana,USA,Souss-Massa,0.0,Bananes,432.01181320411865,2591.384193831177,Standard
Rungis International,Dairy Meadows,France,São Paulo,0.0,Fromage,281.65892938165337,3522.6043766589055,Premium
Dairy Meadows,Dairy Meadows,Maroc,Meknès-Fès,0.0,Olives à Huile,108.83835683703322,3564.057086373874,Bio Certifié
Green Valley Farm,Domaine Saada,Nouvelle-Zélande,Toscane,0.0,Maïs,140.21666023443822,3369.3780505662035,Standard
Hacienda El Sol,Domaine Provence Bio,Espagne,Île-de-France,0.0,Oignons,203.75715460502042,1894.7773475431327,Standard
Domaine Saada,Dairy Meadows,France,São Paulo,0.0,Blé,23.9053314259491,2832.994125539084,Standard
Domaine Provence Bio,Ferme Al Baraka,Italie,Souss-Massa,0.0,Robusta,124.59972128368945,1181.7746447381492,Commerce Équitable
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Souss-Massa,0.0,Tomates,66.49133867030844,2465.157846808769,Standard
Domaine Provence Bio,Fattoria Toscana,Maroc,Île-de-France,0.0,Deglet Nour,842.7288203503402,591.2928049606562,Bio Certifié
Coopérative Oasis,Hacienda El Sol,Tunisie,Andalousie,0.0,Oignons,114.3995599145411,5281.970140870828,Bio Certifié
Domaine Saada,Fazenda Brasil,Brésil,Californie,0.0,Medjool,172.13532630931928,4834.393084965377,Commerce Équitable
Domaine Saada,Fattoria Toscana,Tunisie,Canterbury,0.0,Pommes,44.671746559504015,39.14339649273052,Premium
Fattoria Toscana,Coopérative Oasis,Brésil,Meknès-Fès,0.0,Oranges,51.725107195427135,1884.1423764852234,Bio Certifié
Ferme Al Baraka,Green Valley Farm,USA,Canterbury,0.0,Salades,47.481352779845174,964.8964205204854,Bio Certifié
Cooperative Grains Alliance,Ferme Al Baraka,Italie,Canterbury,0.0,Tomates,242.4371318898216,2961.5478756530365,Bio Certifié
Ferme Al Baraka,Hacienda El Sol,Maroc,Californie,0.0,Olives de Table,266.9312308111974,24095.667034106023,Premium
Rungis International,Ferme Al Baraka,Espagne,Californie,0.0,Carottes,257.75512896310767,3191.630074267794,Standard
Dairy Meadows,Domaine Saada,Maroc,Provence,0.0,Arabica,186.38239779356945,3319.9496010938597,Standard
Domaine Saada,Domaine Saada,Espagne,Kansas,0.0,Olives à Huile,17.007341343790316,1009.7628557323512,Standard
Dairy Meadows,Fattoria Toscana,Italie,Kansas,0.0,Yaourt,1090.9988474935553,2528.5181465293135,Standard
Fattoria Toscana,Fattoria Toscana,Tunisie,Andalousie,0.0,Raisins de Table,133.5884851023943,2717.5840405111367,Bio Certifié
Union Agricole Méditerranée,Fazenda Brasil,Maroc,Sfax,0.0,Tomates,189.37958453951768,454.07110522514165,Standard
Domaine Provence Bio,Fattoria Toscana,Tunisie,Meknès-Fès,0.0,Robusta,129.67825079400612,-136.71593759195184,Commerce Équitable
Union Agricole Méditerranée,Fazenda Brasil,France,Souss-Massa,0.0,Arabica,130.20719972056244,3926.813174609805,Bio Certifié
Fazenda Brasil,Domaine Provence Bio,France,Canterbury,0.0,Raisins de Cuve,153.09068353245834,2757.262574996991,Bio Certifié
Cooperative Grains Alliance,Fazenda Brasil,Maroc,Toscane,0.0,Olives à Huile,437.5205755712942,3251.701555298379,Standard
Dairy Meadows,Hacienda El Sol,USA,Catalogne,0.0,Riz,35.727351924069296,4312.052449089751,Bio Certifié
Ferme Al Baraka,Marché Wholesale Agadir,France,Californie,0.0,Riz,109.28853050158608,960.0364809458332,Premium
Fattoria Toscana,Domaine Provence Bio,Brésil,Toscane,0.0,Pamplemousses,247.25890955481304,5555.232462589587,Premium
Ferme Al Baraka,Hacienda El Sol,Maroc,Canterbury,0.0,Robusta,160.0567291605928,2158.0993042673076,Standard
Dairy Meadows,Cooperative Grains Alliance,France,Californie,0.0,Arabica,28.925575027243777,26324.075205993846,Standard
Fazenda Brasil,Marché Wholesale Agadir,Nouvelle-Zélande,Sfax,0.0,Tomates,113.43773151410926,3208.115474600586,Premium
Marché Wholesale Agadir,Mercabarna,France,São Paulo,0.0,Raisins de Cuve,526.4412901094992,2995.737019046679,Premium
Domaine Provence Bio,Union Agricole Méditerranée,Italie,Andalousie,0.0,Orge,37.201845264714876,1979.18354621167,Premium
Green Valley Farm,Union Agricole Méditerranée,Italie,Toscane,0.0,Pommes de terre,33.78294975619734,5911.785988896027,Premium
Coopérative Oasis,Coopérative Oasis,Espagne,Souss-Massa,0.0,Medjool,100.66278377175928,2372.2994354907505,Standard
Dairy Meadows,Fattoria Toscana,Brésil,Catalogne,0.0,Robusta,142.53974330927366,4313.0846707151895,Standard
Green Valley Farm,Fattoria Toscana,USA,Meknès-Fès,0.0,Deglet Nour,220.59894347511892,2995.708078990164,Bio Certifié
