produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Crème L'Oréal,Beauté,Danone,1174.3004589603686,Aucune,274,Premium,601
Parfum Chanel N°5,Électronique,Samsung,484.7176473387708,Aucune,13,Premium,310
Samsung Galaxy S24,Alimentation,Sony,212.79559178816604,Soldes -20%,225,Standard,450
MacBook Air M3,Mode,Chanel,31.675723651811204,Aucune,237,Premium,194
Lampe Philips Hue,Maison,IKEA,1365.4063856431615,Soldes -20%,432,Standard,681
Yaourt Nature,Électronique,Samsung,983.8055864439177,Aucune,278,Standard,950
Chocolat Lindt,Mode,Sony,8.153775179697448,Aucune,997,Premium,509
Zara Veste Hiver,Électronique,Chanel,951.7095417795798,Aucune,713,Luxe,244
PlayStation 5,Mode,Samsung,452.75771023955554,Soldes -20%,484,Budget,805
Samsung Galaxy S24,Sport,H&M,1378.616825465127,2ème à -50%,851,Premium,241
Nike Air Max,Électronique,Lindt,323.77464306223976,Aucune,245,Premium,185
Samsung Galaxy S24,Mode,Lindt,594.578955508078,Soldes -30%,5,Standard,172
Adidas Survêtement,Électronique,IKEA,15.76756893059735,Aucune,253,Luxe,244
iPhone 15 Pro,Sport,Décathlon,221.5050981520661,Aucune,2563,Budget,364
Samsung Galaxy S24,Maison,IKEA,157.2154580551919,Aucune,663,Standard,351
Café Arabica,Alimentation,Sony,191.90206064091856,Aucune,156,Standard,742
Adidas Survêtement,Mode,Philips,307.6765227992984,Aucune,1053,Budget,422
Huile d'Olive Bio,Mode,Apple,664.2150246359276,Soldes -20%,305,Luxe,689
MacBook Air M3,Mode,Apple,243.4803051665505,2ème à -50%,196,Premium,600
Yaourt Nature,Mode,Lindt,57.439404368825194,Aucune,258,Luxe,190
Nike Air Max,Maison,Samsung,592.1078355202613,Aucune,82,Budget,306
Adidas Survêtement,Sport,Sony,-34.89231300351632,Aucune,158,Standard,382
Zara Veste Hiver,Mode,Apple,744.5598788331451,Aucune,413,Premium,868
Adidas Survêtement,Mode,IKEA,43.10158676187935,Soldes -20%,284,Standard,490
Crème L'Oréal,Mode,Samsung,627.5499245076635,Soldes -20%,373,Standard,791
AirPods Pro,Alimentation,Décathlon,221.1636715952058,Aucune,0,Budget,502
Vélo Décathlon,Maison,Décathlon,16.00074112266384,Aucune,882,Premium,1318
Yaourt Nature,Mode,Apple,1165.1350640821695,Aucune,1003,Luxe,402
Vélo Décathlon,Mode,Lavazza,517.8793148208177,Aucune,398,Standard,243
MacBook Air M3,Mode,Lavazza,767.1723560264304,Aucune,133,Premium,473
Aspirateur Dyson V15,Mode,Samsung,3.171846933903595,Aucune,319,Premium,437
Yaourt Nature,Alimentation,Apple,-38.54562326156105,Aucune,935,Luxe,2017
H&M T-Shirt,Mode,Lindt,-1.8240283358608949,Soldes -20%,209,Luxe,171
Adidas Survêtement,Sport,Danone,268.5342994233738,Aucune,623,Budget,465
Parfum Chanel N°5,Électronique,Apple,11.887323375112928,Aucune,395,Budget,196
Vélo Décathlon,Beauté,Lavazza,449.32027207865946,Aucune,510,Standard,476
Yaourt Nature,Mode,Adidas,40.82368399292936,Aucune,463,Budget,411
Vélo Décathlon,Électronique,H&M,6.532774277935346,Promo Flash -25%,509,Premium,5168
Yaourt Nature,Électronique,Samsung,209.25651674281374,Aucune,280,Premium,245
Ballon Nike,Maison,Adidas,934.2449628092336,Aucune,305,Première Commande,238
Samsung Galaxy S24,Électronique,Sony,206.77673417562914,Cyber Monday -35%,837,Premium,407
PlayStation 5,Mode,Chanel,293.5501047242033,Black Friday -40%,322,Premium,119
Nike Air Max,Maison,Sony,164.05335079198312,Aucune,412,Première Commande,458
Adidas Survêtement,Sport,Lindt,855.2837495681056,Black Friday -40%,1009,Luxe,320
Chocolat Lindt,Alimentation,Philips,121.69034491595465,Soldes -20%,238,Standard,490
Vélo Décathlon,Alimentation,Zara,370.3429927172075,Aucune,871,Budget,777
Aspirateur Dyson V15,Beauté,Danone,103.44463255753641,Aucune,2207,Budget,148
Zara Veste Hiver,Mode,Lindt,444.52238511416033,Black Friday -40%,74,Premium,355
Yaourt Nature,Maison,L'Oréal,-84.79293218797821,Aucune,133,Luxe,180
Ballon Nike,Maison,Adidas,660.3076667255875,Aucune,2236,Premium,956
Yaourt Nature,Électronique,Terra Bio,523.2378504081972,Black Friday -40%,838,Luxe,805
Chocolat Lindt,Sport,Adidas,755.3627936669805,Aucune,466,Première Commande,139
AirPods Pro,Maison,Adidas,106.3493603450669,Aucune,231,Standard,869
Canapé IKEA Ektorp,Mode,Adidas,-3.501619012551558,Aucune,59,Première Commande,161
Parfum Chanel N°5,Sport,Lindt,-55.97592135097747,Aucune,427,Standard,152
Crème L'Oréal,Beauté,Décathlon,36.21532826192242,Aucune,325,Standard,248
Parfum Chanel N°5,Beauté,Adidas,346.53516216723574,2ème à -50%,196,Budget,256
Yaourt Nature,Alimentation,Adidas,12.606907869813213,Cyber Monday -35%,150,Budget,119
Zara Veste Hiver,Beauté,Apple,311.4843864512569,Aucune,243,Premium,407
PlayStation 5,Beauté,Sony,7.681863425265703,Aucune,181,Premium,465
Ballon Nike,Électronique,Chanel,116.0869283221553,Soldes -30%,386,Première Commande,118
iPhone 15 Pro,Électronique,Dyson,9.77537383451751,Aucune,190,Premium,90
Vélo Décathlon,Mode,Lindt,469.5084867129999,Soldes -20%,133,Budget,340
Yaourt Nature,Mode,Philips,764.3037850811049,Soldes -30%,2460,Budget,730
Café Arabica,Alimentation,Décathlon,-7.113989006374936,3 pour 2,573,Budget,1083
Ballon Nike,Électronique,Lavazza,953.3711150052587,Aucune,119,Premium,369
Samsung Galaxy S24,Maison,Apple,156.4858258250297,Aucune,335,Luxe,902
Adidas Survêtement,Maison,Nike,82.17198436983305,Soldes -50%,258,Standard,722
Café Arabica,Alimentation,Apple,-242.684511002055,Aucune,190,Standard,888
Zara Veste Hiver,Beauté,IKEA,1125.6230658334266,Soldes -20%,22,Premium,252
Parfum Chanel N°5,Mode,Apple,670.2373590973125,Aucune,815,Standard,413
AirPods Pro,Beauté,Nike,-59.96451313848556,Aucune,87,Première Commande,980
Ballon Nike,Mode,Samsung,422.0384681287895,Aucune,75,Standard,329
