produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Chocolat Lindt,Électronique,Nike,44.82634729581198,Aucune,377,Premium,149
Nike Air Max,Électronique,IKEA,170.29378725562435,Aucune,115,Premium,428
Lampe Philips Hue,Beauté,Apple,450.2635505679738,Cyber Monday -35%,411,Premium,69
Crème L'Oréal,Maison,Zara,521.8957321567498,Aucune,374,Première Commande,728
Café Arabica,Mode,Décathlon,315.0629566201432,Aucune,151,Standard,402
Samsung Galaxy S24,Maison,Samsung,319.055055382619,Aucune,993,Premium,1679
Zara Veste Hiver,Électronique,Zara,-120.92703857012037,Aucune,-23,Luxe,601
Crème L'Oréal,Beauté,Décathlon,338.97428920156034,Soldes -20%,359,Premium,31
MacBook Air M3,Alimentation,Chanel,650.0964811536286,Soldes -30%,173,Budget,226
Crème L'Oréal,Alimentation,Apple,408.7793355208977,Promo Flash -25%,457,Premium,67
Adidas Survêtement,Beauté,IKEA,466.0121253621507,Aucune,724,Standard,887
Aspirateur Dyson V15,Mode,Zara,336.53746732868376,Soldes -50%,508,Luxe,687
Crème L'Oréal,Sport,Nike,-68.2791407106112,Aucune,865,Premium,334
Nike Air Max,Maison,Nike,109.47676177306025,Aucune,83,Première Commande,-55
Adidas Survêtement,Mode,Chanel,414.34301762047977,Aucune,377,Standard,82
Huile d'Olive Bio,Mode,Zara,-5.9486795062820335,Aucune,162,Première Commande,274
Adidas Survêtement,Alimentation,IKEA,-50.92369261455289,Cyber Monday -35%,680,Luxe,3106
Zara Veste Hiver,Électronique,Apple,81.72953963771982,Aucune,348,Premium,887
Crème L'Oréal,Mode,L'Oréal,672.8757799408475,Aucune,431,Premium,1586
PlayStation 5,Mode,Sony,737.8278938663358,Aucune,349,Standard,547
Crème L'Oréal,Électronique,Samsung,-26.75482069465501,Aucune,86,Budget,395
Zara Veste Hiver,Mode,Danone,503.66258324767716,Aucune,940,Standard,2331
Samsung Galaxy S24,Maison,Dyson,-90.45609930288927,Aucune,602,Budget,1027
Huile d'Olive Bio,Mode,IKEA,110.4816544354891,Black Friday -40%,126,Premium,650
iPhone 15 Pro,Mode,IKEA,39.566336301167425,Soldes -20%,309,Standard,696
Samsung Galaxy S24,Sport,Sony,-95.6826020222322,Aucune,4,Premium,277
Adidas Survêtement,Maison,Décathlon,146.63051922487156,Promo Flash -25%,46,Standard,355
Huile d'Olive Bio,Beauté,IKEA,114.83203020718452,Aucune,309,Standard,85
PlayStation 5,Mode,Dyson,299.1720283578682,Black Friday -40%,297,Standard,1072
MacBook Air M3,Électronique,Décathlon,-79.24244449407628,Soldes -20%,100,Premium,458
Parfum Chanel N°5,Sport,IKEA,-21.65507819710072,2ème à -50%,544,Première Commande,648
iPhone 15 Pro,Alimentation,Zara,554.9323673809665,Promo Flash -25%,1044,Budget,1059
Adidas Survêtement,Mode,Lindt,-45.18530133885383,Aucune,153,Standard,129
Café Arabica,Sport,Nike,-98.84010254806543,Aucune,343,Standard,2006
Nike Air Max,Mode,Apple,536.155812443389,Aucune,211,Budget,2427
H&M T-Shirt,Maison,Apple,216.631820919853,Promo Flash -25%,1094,Première Commande,402
Huile d'Olive Bio,Sport,Lindt,312.79575986778354,Aucune,56,Budget,103
H&M T-Shirt,Beauté,H&M,824.6883622203468,Aucune,405,Budget,1048
Chocolat Lindt,Maison,Adidas,296.5938876223912,Soldes -30%,4144,Standard,251
Samsung Galaxy S24,Électronique,Apple,626.1687312232991,Soldes -50%,298,Budget,469
MacBook Air M3,Électronique,H&M,-51.230696990751,Aucune,429,Premium,896
Parfum Chanel N°5,Électronique,Nike,751.6064685564679,Aucune,1116,Premium,476
Zara Veste Hiver,Électronique,Chanel,-28.201131879996083,Soldes -30%,832,Premium,1038
Vélo Décathlon,Mode,Adidas,-27.322047513394622,Aucune,227,Budget,1016
Crème L'Oréal,Sport,Décathlon,488.319333854051,Aucune,395,Budget,1724
Crème L'Oréal,Mode,Chanel,480.11197843267036,Aucune,886,Standard,945
Vélo Décathlon,Sport,Apple,23.455744040921786,Aucune,557,Budget,3183
Samsung Galaxy S24,Maison,Lavazza,-159.99039385853115,Aucune,23,Budget,2480
Huile d'Olive Bio,Alimentation,Adidas,-104.32502894023571,Soldes -20%,-35,Budget,366
Huile d'Olive Bio,Beauté,Terra Bio,-93.35196812627166,Aucune,900,Budget,692
Lampe Philips Hue,Électronique,Apple,-1.5662544890000731,3 pour 2,689,Luxe,456
Vélo Décathlon,Mode,Dyson,1163.09053612854,Black Friday -40%,1117,Premium,135
Lampe Philips Hue,Mode,Nike,1109.6985482143584,Aucune,223,Standard,428
H&M T-Shirt,Mode,Zara,54.97818819021738,Aucune,202,Standard,354
iPhone 15 Pro,Mode,Dyson,114.88914087308649,Aucune,286,Premium,1039
PlayStation 5,Mode,Lindt,238.0814871390748,Aucune,245,Premium,1000
Yaourt Nature,Mode,Nike,458.76969430668896,Promo Flash -25%,544,Standard,189
AirPods Pro,Maison,Adidas,-83.96836084265362,Aucune,302,Standard,241
H&M T-Shirt,Mode,Apple,400.8569035467184,Soldes -20%,458,Luxe,544
Zara Veste Hiver,Sport,H&M,-64.41610410566912,Aucune,269,Luxe,377
Zara Veste Hiver,Sport,H&M,2.024965985537115,Soldes -30%,172,Budget,317
Vélo Décathlon,Mode,Zara,34.6002946936641,Aucune,349,Standard,378
Aspirateur Dyson V15,Mode,Sony,550.2277285635715,Promo Flash -25%,445,Budget,-43
Ballon Nike,Beauté,Nike,36.760253216987564,Promo Flash -25%,415,Première Commande,1112
PlayStation 5,Électronique,L'Oréal,603.9700483841132,Black Friday -40%,195,Premium,142
Canapé IKEA Ektorp,Électronique,Samsung,298.9752575068567,Soldes -50%,125,Budget,736
Vélo Décathlon,Sport,H&M,508.93971623829924,Aucune,-44,Budget,306
Adidas Survêtement,Électronique,H&M,-54.421772911366574,Aucune,190,Premium,389
Vélo Décathlon,Mode,Sony,-77.08178165559073,Soldes -30%,797,Premium,153
Yaourt Nature,Alimentation,IKEA,-17.204367623869757,Soldes -50%,413,Budget,456
Vélo Décathlon,Mode,Lindt,95.31278027243397,Aucune,270,Standard,263
Huile d'Olive Bio,Électronique,L'Oréal,720.6241276608328,Promo Flash -25%,178,Budget,2500
Huile d'Olive Bio,Maison,Adidas,-93.16415808633201,Aucune,378,Budget,320
Chocolat Lindt,Électronique,Philips,47.06854686275028,Soldes -50%,100,Standard,1095
iPhone 15 Pro,Mode,H&M,114.26220287168587,Aucune,288,Budget,549
Adidas Survêtement,Mode,Apple,437.3402537506827,Soldes -20%,844,Standard,404
Adidas Survêtement,Mode,Nike,-42.60537289028851,Aucune,933,Budget,243
Crème L'Oréal,Beauté,Danone,109.01298803762324,Aucune,17,Budget,670
Aspirateur Dyson V15,Mode,Apple,273.7001544570867,Aucune,648,Luxe,199
Lampe Philips Hue,Maison,Apple,-71.67124358537994,Aucune,41,Première Commande,659
Vélo Décathlon,Alimentation,Lavazza,770.8055058972951,Aucune,289,Standard,716
Parfum Chanel N°5,Alimentation,Lindt,337.804329564254,2ème à -50%,84,Premium,468
Ballon Nike,Alimentation,Adidas,601.4532819096695,Aucune,3719,Premium,908
iPhone 15 Pro,Maison,Samsung,-41.76693334060343,Aucune,365,Première Commande,868
Canapé IKEA Ektorp,Mode,Samsung,1521.9980824517647,Soldes -30%,405,Luxe,894
Chocolat Lindt,Mode,IKEA,-52.90737425871583,Aucune,357,Premium,970
AirPods Pro,Maison,Zara,294.0875412799095,3 pour 2,415,Premium,589
Café Arabica,Beauté,Danone,417.6414892191402,Soldes -50%,1177,Premium,397
Nike Air Max,Alimentation,Sony,509.0155491307378,Aucune,359,Première Commande,260
Huile d'Olive Bio,Mode,Zara,161.05141154116694,Black Friday -40%,976,Standard,2020
H&M T-Shirt,Alimentation,Chanel,-124.60936497034967,Cyber Monday -35%,201,Premium,178
Lampe Philips Hue,Mode,L'Oréal,-65.58703152887489,Soldes -20%,899,Budget,329
PlayStation 5,Électronique,Adidas,398.4356820880239,Aucune,545,Premium,177
Nike Air Max,Sport,Lindt,-19.09337940581655,2ème à -50%,129,Standard,1149
Ballon Nike,Beauté,Nike,-29.01920494568195,Aucune,204,Premium,283
PlayStation 5,Beauté,Apple,325.9487213452537,Aucune,348,Premium,386
MacBook Air M3,Mode,Décathlon,347.22852100261014,Soldes -20%,336,Première Commande,1613
