produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Café Arabica,Beauté,Philips,238.522064993499,Aucune,137,Standard,240
Adidas Survêtement,Mode,Décathlon,327.49178914993536,Black Friday -40%,-8,Standard,2205
Parfum Chanel N°5,Électronique,Philips,95.55339744214339,Aucune,375,Luxe,186
iPhone 15 Pro,Mode,Apple,599.5961913272774,Aucune,746,Standard,273
Samsung Galaxy S24,Sport,Danone,130.319399683999,Aucune,351,Luxe,468
Huile d'Olive Bio,Mode,Sony,18.668761386161897,Aucune,2259,Premium,1003
Parfum Chanel N°5,Beauté,Dyson,-21.52579234516054,2ème à -50%,1108,Premium,1249
Zara Veste Hiver,Mode,L'Oréal,921.5736151620296,Aucune,1002,Premium,934
Parfum Chanel N°5,Électronique,Samsung,-11.575948557775604,Promo Flash -25%,223,Première Commande,368
Café Arabica,Maison,Lavazza,91.82266754089139,Soldes -50%,82,Première Commande,201
Zara Veste Hiver,Électronique,L'Oréal,501.44100128985554,Aucune,383,Luxe,328
iPhone 15 Pro,Mode,Chanel,158.37259284187513,Aucune,315,Premium,430
MacBook Air M3,Mode,Danone,726.3405854713586,Aucune,109,Première Commande,1275
Lampe Philips Hue,Mode,Lindt,-21.11398257136689,Aucune,478,Budget,680
Vélo Décathlon,Maison,Zara,1091.7917678611118,Promo Flash -25%,-29,Standard,581
Vélo Décathlon,Maison,Terra Bio,-123.34943318477528,Aucune,291,Première Commande,196
iPhone 15 Pro,Maison,Nike,-61.08035884605073,Aucune,1155,Premium,1024
Yaourt Nature,Alimentation,Philips,967.3892406296937,Aucune,268,Premium,1056
Vélo Décathlon,Mode,Danone,503.1109858764079,Aucune,514,Premium,830
Huile d'Olive Bio,Alimentation,Lavazza,-51.3281173220098,Aucune,-1,Première Commande,131
Adidas Survêtement,Alimentation,IKEA,79.27596973120228,Soldes -50%,209,Premium,442
Café Arabica,Beauté,Sony,882.353128186043,Black Friday -40%,416,Premium,980
Lampe Philips Hue,Mode,Sony,394.82085432616213,Soldes -20%,256,Standard,378
Vélo Décathlon,Électronique,Décathlon,-300.27031606995916,Aucune,129,Budget,226
Adidas Survêtement,Mode,Décathlon,93.98234543864245,Aucune,293,Standard,331
Vélo Décathlon,Alimentation,Zara,-119.73446958582878,Aucune,252,Standard,1009
Yaourt Nature,Beauté,Nike,278.3631349878443,Aucune,498,Standard,205
MacBook Air M3,Alimentation,H&M,-41.35771709789077,Aucune,275,Budget,0
Adidas Survêtement,Sport,Philips,2.8155906026846083,Soldes -20%,503,Budget,276
Adidas Survêtement,Mode,Sony,-29.01244792209569,Aucune,111,Première Commande,375
Lampe Philips Hue,Alimentation,Décathlon,28.787797632619984,Soldes -30%,380,Premium,2381
Huile d'Olive Bio,Beauté,Sony,28.762933381536623,Aucune,1050,Premium,390
Vélo Décathlon,Sport,Apple,698.1609963683566,Aucune,906,Budget,45
Parfum Chanel N°5,Alimentation,Apple,-20.954253024401964,Aucune,360,Budget,275
Chocolat Lindt,Mode,Apple,791.7498058626545,Soldes -20%,254,Budget,556
Chocolat Lindt,Sport,Danone,-12.261116040753222,Soldes -50%,158,Premium,164
Crème L'Oréal,Mode,Dyson,-66.52567108013031,3 pour 2,474,Standard,753
Nike Air Max,Électronique,Lindt,-36.74835574470836,Soldes -30%,325,Budget,725
Chocolat Lindt,Électronique,Lavazza,724.4411319350759,Aucune,421,Premium,122
Huile d'Olive Bio,Beauté,Apple,556.4747520325274,Aucune,206,Standard,182
Canapé IKEA Ektorp,Mode,Décathlon,-29.526559473182147,Aucune,281,Budget,342
Vélo Décathlon,Mode,Décathlon,-53.55765524195941,Aucune,460,Budget,320
Café Arabica,Électronique,Zara,129.4972846785883,Soldes -30%,477,Budget,813
Nike Air Max,Maison,Zara,-58.84926309409755,3 pour 2,56,Premium,205
H&M T-Shirt,Sport,Sony,3.5694190867449365,Aucune,319,Luxe,337
Samsung Galaxy S24,Alimentation,Décathlon,330.77454526008984,Black Friday -40%,418,Standard,522
Vélo Décathlon,Mode,Samsung,52.69712872748186,Soldes -20%,235,Standard,332
Yaourt Nature,Électronique,Samsung,239.3233940809327,Aucune,952,Luxe,511
Parfum Chanel N°5,Mode,Nike,-14.548780320002358,Aucune,394,Première Commande,1921
iPhone 15 Pro,Mode,Terra Bio,13.311236788053492,Aucune,421,Luxe,475
Adidas Survêtement,Alimentation,Apple,645.1826983231032,Aucune,1626,Budget,440
Samsung Galaxy S24,Sport,Zara,474.1440931986307,Promo Flash -25%,11,Luxe,450
Lampe Philips Hue,Mode,Philips,-22.98781856255563,Soldes -30%,533,Standard,948
Nike Air Max,Maison,Adidas,-384.6941835677673,Aucune,286,Luxe,382
