id,nom,espece,race,age,poids,sexe,couleur_pelage
ANI_001864,Nala,Poisson,Poisson Rouge,0,7.84,Mâle,Noir
ANI_000809,Apollo,Lapin,Nain,3,3.69,Mâle,Rayé
ANI_001360,Shadow,Chien,Inséparable,5,2.31,Femelle,Blanc
ANI_001872,Lola,Poisson,Husky,6,403.45,Femelle,Roux
ANI_000839,Sky,Cheval,Perruche,6,19.29,Femelle,Beige
ANI_001576,Duke,Chat,Géant des Flandres,1,3.99,Mâle,Beige
ANI_001157,Pepper,Oiseau,Scottish Fold,7,0.16,Femelle,Rayé
ANI_000700,Goldie,Chat,Rottweiler,3,2.6,Mâle,Gris
ANI_001842,Kiwi,Cheval,Mustang,5,782.33,Mâle,Gris
ANI_001969,Milo,Cheval,Inséparable,2,0.34,Mâle,Blanc
ANI_001090,Bunny,Lapin,Bélier,2,5.04,Femelle,Roux
ANI_001906,Felix,Cheval,Quarter Horse,7,46.27,Mâle,Gris
ANI_001264,Milo,Chien,Andalou,5,5.32,Mâle,Gris
ANI_000871,Phoenix,Lapin,Européen,13,3.81,Mâle,Blanc
ANI_000402,Rex,Cheval,Angora,1,5.4,Femelle,Gris
ANI_000246,Cleo,Chien,Inséparable,5,0.22,Femelle,Blanc
ANI_001906,Spirit,Oiseau,Calopsitte,4,4.75,Femelle,Marron
ANI_001267,Oliver,Chat,Golden Retriever,4,431.41,Mâle,Blanc
ANI_001123,Bella,Cheval,Quarter Horse,4,0.13,Mâle,Marron
ANI_001176,Oreo,Oiseau,Nain,5,3.91,Mâle,Noir
ANI_001873,Cottontail,Oiseau,Siamois,10,3.74,Mâle,Tacheté
ANI_001013,Shadow,Cheval,Quarter Horse,1,43.9,Mâle,Blanc
ANI_001721,Stella,Lapin,Andalou,-1,18.64,Femelle,Tricolore
ANI_001381,Peter,Cheval,Bulldog Français,5,6.61,Mâle,Blanc
ANI_000388,Pepper,Lapin,Sphynx,0,782.88,Mâle,Beige
ANI_001918,Bella,Cheval,Mustang,4,4.92,Mâle,Tacheté
ANI_001761,Peter,Chien,Scottish Fold,2,2.11,Mâle,Noir
ANI_001655,Bella,Cheval,Bélier,10,42.05,Mâle,Rayé
ANI_000073,Bunny,Cheval,Bélier,7,3.23,Mâle,Noir
ANI_000210,Coco,Cheval,Perruche,10,14.76,Femelle,Tacheté
ANI_001181,Maya,Chat,Chihuahua,6,37.54,Femelle,Blanc
ANI_001309,Lucy,Poisson,Guppy,-1,0.5,Mâle,Blanc
ANI_000159,Blaze,Cheval,Canari,3,5.49,Mâle,Noir
