exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Rungis International,Green Valley Farm,Espagne,Provence,0.0,Lait,744.9813051326214,5333.23907602691,Bio Certifié
Domaine Saada,Ferme Al Baraka,USA,Meknès-Fès,0.0,Citrons,92.14940156236699,3801.7180182945026,Premium
Cooperative Grains Alliance,Dairy Meadows,Italie,Souss-Massa,0.0,Tomates,-2.88048211618964,9622.655923962597,Premium
Union Agricole Méditerranée,Fattoria Toscana,Nouvelle-Zélande,Kansas,0.0,Riz,187.82944270690075,3004.5819079471894,Premium
Ferme Al Baraka,Coopérative Oasis,USA,Île-de-France,0.0,Bananes,176.78490607129163,49.600314508648125,Standard
Domaine Provence Bio,Fazenda Brasil,Maroc,Meknès-Fès,0.0,Fromage,595.369896234855,2707.4533381694137,Standard
Domaine Saada,Fattoria Toscana,Italie,Marrakech-Safi,0.0,Olives à Huile,115.0775575023178,3696.156045891411,Commerce Équitable
Hacienda El Sol,Mercabarna,Brésil,Marrakech-Safi,0.0,Maïs,622.746463204802,4288.490326190333,Commerce Équitable
Domaine Provence Bio,Fattoria Toscana,Maroc,Andalousie,0.0,Pommes,139.97176478077904,2360.29708540516,Standard
Green Valley Farm,Dairy Meadows,Maroc,Provence,0.0,Olives de Table,98.37952188750566,1658.097447003458,Bio Certifié
Union Agricole Méditerranée,Dairy Meadows,Maroc,Toscane,0.0,Mandarines,136.4057146953111,3538.6539935759483,Standard
Coopérative Oasis,Domaine Saada,Espagne,São Paulo,0.0,Pommes,62.34323267951135,13792.048807669871,Standard
Fazenda Brasil,Ferme Al Baraka,Brésil,Canterbury,0.0,Bananes,149.80534351039782,1988.331212040663,Bio Certifié
Mercabarna,Mercabarna,USA,Souss-Massa,0.0,Citrons,-43.48871562504011,2046.693613480057,Standard
Mercabarna,Domaine Saada,France,Provence,0.0,Pommes,909.7703053968453,22305.127123895043,Bio Certifié
Ferme Al Baraka,Domaine Provence Bio,France,Canterbury,0.0,Mandarines,79.71353676477088,962.2429790887538,Bio Certifié
Rungis International,Marché Wholesale Agadir,France,Andalousie,0.0,Raisins de Cuve,5.787247554050964,1554.9666726864252,Standard
