exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Green Valley Farm,Ferme Al Baraka,USA,Kansas,,Salades,115.14057161165853,13187.496641795367,Premium
Hacienda El Sol,Marché Wholesale Agadir,Maroc,Île-de-France,,Oignons,82.28581491012199,3559.6205733024462,Bio Certifié
Domaine Provence Bio,Union Agricole Méditerranée,Espagne,Souss-Massa,,Deglet Nour,506.99506370491014,3448.6901262635065,Standard
Cooperative Grains Alliance,Fazenda Brasil,USA,Californie,,Medjool,72.01888924710632,2644.8716437484254,Bio Certifié
Domaine Provence Bio,Green Valley Farm,Italie,Andalousie,,Deglet Nour,153.32470271231855,140.3752574499906,Standard
Domaine Saada,Hacienda El Sol,Nouvelle-Zélande,Andalousie,,Raisins de Table,3.5873980799768717,2833.5912665889223,Standard
Dairy Meadows,Hacienda El Sol,USA,Souss-Massa,,Olives de Table,140.32983916787953,1613.0425532774327,Standard
Green Valley Farm,Mercabarna,Nouvelle-Zélande,Californie,,Pommes,91.85073111039884,1757.007956118605,Commerce Équitable
Marché Wholesale Agadir,Domaine Saada,Espagne,Kansas,,Yaourt,78.62313618731167,11552.732525917874,Standard
Fazenda Brasil,Domaine Saada,Espagne,Canterbury,,Olives à Huile,1079.9484349647196,5364.445660865116,Bio Certifié
Union Agricole Méditerranée,Domaine Saada,Maroc,Souss-Massa,,Pamplemousses,171.49068113639092,2625.078832421924,Bio Certifié
Cooperative Grains Alliance,Rungis International,Tunisie,Sfax,,Riz,152.07739009257153,3014.7912070557823,Premium
Fattoria Toscana,Dairy Meadows,Maroc,Marrakech-Safi,,Raisins de Table,152.88055786474686,1724.7491733841723,Standard
Ferme Al Baraka,Hacienda El Sol,Maroc,Meknès-Fès,,Courgettes,271.3023566139418,5773.77895885273,Bio Certifié
Green Valley Farm,Marché Wholesale Agadir,Nouvelle-Zélande,Sfax,,Pommes,180.56230238063608,2714.819420197963,Bio Certifié
