exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Ferme Al Baraka,Fazenda Brasil,Espagne,Souss-Massa,,Robusta,99.2490514584378,10730.407568238146,Standard
Union Agricole Méditerranée,Green Valley Farm,Tunisie,Souss-Massa,,Pommes,106.14984694840786,5061.083978930246,Bio Certifié
Marché Wholesale Agadir,Dairy Meadows,France,Catalogne,,Orge,36.980409036196164,2854.244708084464,Bio Certifié
Dairy Meadows,Fattoria Toscana,Brésil,São Paulo,,Salades,195.75209182107193,1609.5747100518208,Premium
Dairy Meadows,Mercabarna,Italie,Provence,,Beurre,51.07659408593071,2611.3846332375606,Bio Certifié
Fattoria Toscana,Ferme Al Baraka,France,São Paulo,,Olives à Huile,-34.66427637129801,3108.8190988792003,Bio Certifié
Rungis International,Domaine Provence Bio,USA,Californie,,Oranges,252.04694186373217,3049.450268707202,Standard
Fattoria Toscana,Marché Wholesale Agadir,Maroc,Californie,,Robusta,95.06512565071792,2790.0051689768297,Commerce Équitable
Cooperative Grains Alliance,Fattoria Toscana,France,Californie,,Yaourt,23.276021987571255,4035.2533677269453,Bio Certifié
Union Agricole Méditerranée,Mercabarna,France,Andalousie,,Orge,526.4210980065493,3415.0535360419317,Commerce Équitable
Fazenda Brasil,Fazenda Brasil,Brésil,Provence,,Blé,217.4032034393026,4001.947898061541,Bio Certifié
Rungis International,Coopérative Oasis,USA,São Paulo,,Tomates,180.61597134498507,3923.378989804546,Premium
Green Valley Farm,Mercabarna,USA,Souss-Massa,,Raisins de Cuve,1250.302890928986,3205.4224254626783,Premium
Coopérative Oasis,Cooperative Grains Alliance,France,Île-de-France,,Robusta,255.5596516733141,364.8447759131666,Standard
Marché Wholesale Agadir,Green Valley Farm,Espagne,Canterbury,,Raisins de Table,663.5778601915591,2140.1616412204385,Bio Certifié
Mercabarna,Union Agricole Méditerranée,Brésil,Sfax,,Raisins de Cuve,208.4756093558936,2963.603797458609,Standard
Cooperative Grains Alliance,Fattoria Toscana,USA,Marrakech-Safi,,Riz,237.72045624720528,1233.9856956711592,Premium
Marché Wholesale Agadir,Ferme Al Baraka,Maroc,Catalogne,,Oranges,-11.47668307761355,1754.2752239797062,Bio Certifié
Mercabarna,Cooperative Grains Alliance,Maroc,Sfax,,Salades,30.95654371176429,2205.985843712022,Commerce Équitable
Rungis International,Fattoria Toscana,Italie,Californie,,Pamplemousses,54.44110639537971,19415.496117352417,Standard
Hacienda El Sol,Ferme Al Baraka,Brésil,Canterbury,,Fromage,156.39962326463112,3207.902462324143,Bio Certifié
