id,type_logement,surface,pieces,chambres,salles_bain,chauffage,standing,classe_energie,prix,parking,jardin
BIEN_000724,Appartement,175,6,3,2,Pompe à chaleur,Standard,F,3625076,Non,Oui
BIEN_000247,Villa,129,5,1,1,Climatisation réversible,Haut standing,B,665611,Oui,Non
BIEN_000830,Maison,140,4,2,2,Chauffage central,Moyen,A,3514549,Oui,Oui
BIEN_000519,Appartement,126,5,3,5,Fioul,Luxe,E,4484570,Oui,Oui
BIEN_000470,Villa,265,4,3,1,Fioul,Standard,F,3613381,Non,Oui
BIEN_000884,Villa,95,5,4,4,Aucun,Haut standing,C,6113580,Oui,Non
BIEN_000402,Appartement,152,3,2,0,Électrique,Haut standing,G,2471177,Oui,Non
BIEN_000674,Appartement,193,1,5,2,Pompe à chaleur,Haut standing,A,3514551,Non,Oui
BIEN_000820,Duplex,129,3,1,2,Fioul,Luxe,B,4231983,Oui,Oui
BIEN_000250,Maison,215,5,2,1,Fioul,Haut standing,D,181311,Non,Non
BIEN_000836,Duplex,140,3,1,1,Électrique,Haut standing,B,4845409,Non,Non
BIEN_000932,Appartement,98,5,1,3,Électrique,Haut standing,F,3081268,Non,Oui
BIEN_000060,Studio,88,7,2,1,Électrique,Standard,B,902986,Non,Non
BIEN_000335,Appartement,176,1,2,1,Aucun,Haut standing,E,4710958,Non,Non
BIEN_000033,Appartement,143,4,2,2,Électrique,Haut standing,D,1098632,Non,Non
BIEN_000119,Villa,55,6,4,1,Chauffage central,Haut standing,E,1789029,Non,Oui
BIEN_000818,Villa,195,5,1,5,Gaz,Moyen,D,1775066,Oui,Oui
BIEN_000347,Loft,416,7,2,4,Pompe à chaleur,Standard,F,3621283,Oui,Non
BIEN_000250,Appartement,427,6,1,1,Gaz,Haut standing,G,3578576,Oui,Non
BIEN_000748,Duplex,155,6,3,2,Électrique,Luxe,G,1919991,Oui,Oui
BIEN_000001,Villa,232,5,5,1,Chauffage central,Standard,D,3071309,Oui,Oui
BIEN_000058,Appartement,193,5,5,1,Chauffage central,Haut standing,D,3323677,Oui,Oui
BIEN_000843,Villa,108,5,4,2,Pompe à chaleur,Luxe,E,1826011,Oui,Non
BIEN_000891,Appartement,182,0,4,1,Pompe à chaleur,Haut standing,G,3358559,Oui,Non
