id,nom,espece,race,age,poids,sexe,couleur_pelage
ANI_000391,Zeus,Cheval,Bengal,2,5.98,Mâle,Rayé
ANI_001782,Nala,Chien,Géant des Flandres,2,3.63,Mâle,Tricolore
ANI_000223,Bella,Poisson,Angora,18,0.39,Femelle,Noir
ANI_000429,Sunny,Chien,Bulldog Français,5,664.84,Femelle,Blanc
ANI_001383,Maya,Poisson,Siamois,11,0.38,Femelle,Blanc
ANI_001592,Tigrou,Poisson,Carpe Koï,3,28.89,Mâle,Beige
ANI_000648,Luna,Cheval,Andalou,5,0.22,Mâle,Rayé
ANI_001699,Maya,Chien,Caniche,6,441.24,Femelle,Blanc
ANI_000907,Lola,Lapin,Géant des Flandres,0,6.08,Mâle,Tricolore
ANI_000833,Blue,Oiseau,Quarter Horse,3,2.89,Mâle,Blanc
ANI_000363,Bunny,Chien,Carpe Koï,4,3.33,Mâle,Rayé
ANI_000762,Oreo,Chien,Nain,1,5.98,Femelle,Roux
ANI_000889,Leo,Oiseau,Scottish Fold,0,414.69,Femelle,Marron
ANI_001202,Lola,Chien,Betta,7,0.2,Mâle,Marron
ANI_001006,Whiskers,Poisson,Berger Allemand,2,6.59,Mâle,Beige
ANI_000974,Angel,Chien,Husky,6,3.43,Femelle,Roux
ANI_001718,Spirit,Oiseau,Shetland,11,2.23,Femelle,Tricolore
ANI_000236,Kiwi,Oiseau,Maine Coon,-1,438.02,Mâle,Marron
ANI_000922,Mittens,Cheval,Pur-sang Arabe,10,7.11,Mâle,Rayé
ANI_001902,Lucy,Cheval,Quarter Horse,5,12.24,Femelle,Noir
ANI_001791,Mango,Oiseau,Berger Allemand,1,1.19,Mâle,Roux
ANI_000443,Coco,Poisson,Calopsitte,2,2.91,Mâle,Blanc
ANI_001728,Max,Cheval,Quarter Horse,3,12.24,Mâle,Tacheté
ANI_000681,Thumper,Lapin,Yorkshire,2,0.33,Femelle,Rayé
ANI_001939,Star,Cheval,Persan,11,0.11,Mâle,Rayé
