id,type_logement,surface,pieces,chambres,salles_bain,chauffage,standing,classe_energie,prix,parking,jardin
BIEN_000437,Terrain,4584,3,1,1,Aucun,Haut standing,E,3267447,Non,Oui
BIEN_000038,Appartement,175,1,4,4,Fioul,Haut standing,D,632937,Oui,Non
BIEN_000180,Villa,172,2,3,3,Fioul,Haut standing,B,2932618,Oui,Non
BIEN_000703,Loft,399,8,5,2,Électrique,Luxe,A,3731980,Oui,Oui
BIEN_000679,Villa,109,1,5,5,Aucun,Haut standing,G,4847677,Oui,Non
BIEN_000306,Appartement,283,7,4,1,Autre,Haut standing,F,2899472,Non,Non
BIEN_000562,Duplex,3706,7,1,1,Gaz,Moyen,E,2345999,Non,Non
BIEN_000052,Appartement,97,3,1,1,Climatisation réversible,Haut standing,G,2984518,Non,Non
BIEN_000105,Appartement,225,4,2,2,Autre,Standard,E,4589170,Oui,Non
BIEN_000307,Appartement,120,4,2,1,Pompe à chaleur,Standard,E,4383515,Oui,Non
BIEN_000609,Villa,265,5,3,4,Chauffage central,Moyen,E,3326428,Non,Oui
BIEN_000785,Penthouse,195,8,2,4,Pompe à chaleur,Haut standing,E,1831172,Oui,Non
BIEN_000716,Appartement,157,7,0,3,Gaz,Standard,A,263864,Non,Non
BIEN_000308,Appartement,128,3,0,1,Gaz,Haut standing,G,1446337,Non,Non
BIEN_000247,Villa,138,4,3,3,Pompe à chaleur,Moyen,F,2092000,Non,Non
BIEN_000582,Appartement,196,3,2,2,Chauffage central,Standard,G,3497257,Oui,Non
BIEN_000483,Appartement,106,3,0,1,Gaz,Moyen,G,3013468,Non,Non
BIEN_000513,Appartement,143,3,3,3,Électrique,Moyen,D,7198778,Oui,Non
BIEN_000848,Maison,91,4,3,1,Électrique,Moyen,D,5124238,Oui,Oui
BIEN_000382,Villa,234,7,1,1,Électrique,Standard,G,3198794,Oui,Non
BIEN_000104,Villa,292,7,2,1,Chauffage central,Standard,A,5401658,Oui,Non
BIEN_000045,Maison,263,8,0,1,Électrique,Moyen,A,2653102,Oui,Non
BIEN_000131,Villa,220,6,2,1,Électrique,Haut standing,D,3642988,Non,Non
BIEN_000134,Appartement,274,3,0,3,Gaz,Haut standing,E,3656386,Non,Non
BIEN_000176,Villa,196,7,2,3,Électrique,Haut standing,E,3437537,Non,Non
BIEN_000615,Duplex,411,7,2,1,Électrique,Haut standing,E,141521,Non,Oui
BIEN_000960,Appartement,6233,2,1,1,Climatisation réversible,Moyen,C,4646269,Non,Oui
BIEN_000767,Villa,258,3,2,1,Électrique,Luxe,E,4125641,Oui,Oui
BIEN_000650,Duplex,252,6,5,4,Chauffage central,Moyen,G,3119005,Oui,Non
BIEN_000341,Villa,119,3,1,3,Fioul,Luxe,B,2007128,Non,Non
BIEN_000493,Loft,329,1,2,1,Autre,Haut standing,B,7030917,Oui,Non
BIEN_000826,Appartement,57,4,3,3,Chauffage central,Standard,G,4261690,Non,Non
BIEN_000811,Penthouse,235,4,0,3,Climatisation réversible,Haut standing,E,3964212,Oui,Non
BIEN_000365,Maison,202,5,1,2,Électrique,Luxe,D,2132331,Oui,Oui
BIEN_000028,Appartement,396,3,5,3,Aucun,Luxe,B,4101570,Non,Oui
BIEN_000846,Appartement,73,4,0,1,Gaz,Haut standing,E,5975349,Non,Non
BIEN_000943,Appartement,126,4,2,5,Gaz,Standard,E,3330714,Non,Non
BIEN_000365,Appartement,64,5,0,1,Autre,Haut standing,B,1346718,Non,Non
BIEN_000852,Appartement,70,4,2,1,Climatisation réversible,Haut standing,G,2451791,Non,Non
BIEN_000996,Maison,84,7,3,3,Pompe à chaleur,Haut standing,A,2054031,Non,Non
BIEN_000481,Appartement,131,2,0,1,Pompe à chaleur,Moyen,B,3173658,Non,Non
BIEN_000302,Villa,136,4,3,1,Pompe à chaleur,Moyen,F,4533056,Non,Non
BIEN_000969,Appartement,241,7,3,1,Fioul,Haut standing,G,3830484,Oui,Non
BIEN_000183,Villa,150,7,4,2,Électrique,Luxe,A,3067866,Oui,Oui
BIEN_000964,Villa,129,7,4,3,Aucun,Standard,G,4541832,Non,Non
BIEN_000772,Villa,142,1,0,1,Pompe à chaleur,Standard,G,4263959,Non,Non
BIEN_000440,Appartement,142,1,1,1,Pompe à chaleur,Standard,E,4133934,Non,Non
BIEN_000764,Studio,202,4,1,1,Électrique,Haut standing,D,3617144,Non,Oui
BIEN_000857,Appartement,79,1,3,3,Électrique,Haut standing,D,2195124,Oui,Oui
BIEN_000427,Appartement,146,1,1,1,Chauffage central,Luxe,B,1853173,Non,Non
BIEN_000701,Maison,465,7,5,1,Pompe à chaleur,Standard,E,2537694,Oui,Oui
BIEN_000618,Appartement,251,4,1,2,Gaz,Standard,C,2495133,Non,Oui
BIEN_000316,Villa,129,7,1,1,Gaz,Haut standing,D,6013442,Non,Non
BIEN_000186,Maison,121,5,3,2,Gaz,Haut standing,G,3335995,Non,Non
BIEN_000665,Studio,48,4,0,2,Gaz,Standard,D,4611469,Oui,Non
BIEN_000216,Maison,55,3,1,3,Climatisation réversible,Haut standing,G,3517175,Oui,Non
