exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Cooperative Grains Alliance,Domaine Provence Bio,USA,Toscane,0.0,Yaourt,146.12885642332662,5871.144454136889,Standard
Green Valley Farm,Hacienda El Sol,Espagne,Île-de-France,0.0,Orge,133.76540866035887,2192.8949269266986,Commerce Équitable
Ferme Al Baraka,Fazenda Brasil,Maroc,Toscane,0.0,Fromage,57.09487703261772,12549.380127752283,Premium
Ferme Al Baraka,Green Valley Farm,Espagne,Kansas,0.0,Pamplemousses,46.9858604397322,606.8621767894797,Bio Certifié
Dairy Meadows,Fattoria Toscana,Maroc,São Paulo,0.0,Arabica,1274.7029203174477,5828.538832987018,Commerce Équitable
Dairy Meadows,Fazenda Brasil,France,Canterbury,0.0,Raisins de Table,17.85520090316446,2112.324715923629,Commerce Équitable
Fattoria Toscana,Green Valley Farm,Espagne,Île-de-France,0.0,Raisins de Cuve,149.7112330040599,2280.9385710125184,Standard
Dairy Meadows,Fattoria Toscana,USA,Île-de-France,0.0,Oranges,102.84322662797769,5724.085588278085,Standard
Union Agricole Méditerranée,Union Agricole Méditerranée,USA,Catalogne,0.0,Courgettes,115.97670558385363,321.0562779311449,Standard
Marché Wholesale Agadir,Dairy Meadows,Brésil,Kansas,0.0,Riz,1153.7852482244018,4625.792156527227,Premium
Green Valley Farm,Union Agricole Méditerranée,Espagne,Souss-Massa,0.0,Yaourt,137.79001549942785,3110.010933323636,Commerce Équitable
Dairy Meadows,Green Valley Farm,Tunisie,Californie,0.0,Olives à Huile,175.31415745827064,1059.0447550015915,Standard
Hacienda El Sol,Ferme Al Baraka,France,Andalousie,0.0,Olives de Table,-36.87431364482071,3380.150313579393,Standard
Cooperative Grains Alliance,Domaine Saada,Espagne,Andalousie,0.0,Yaourt,38.31054889878827,3989.1226762263973,Premium
Domaine Provence Bio,Hacienda El Sol,USA,Toscane,0.0,Courgettes,322.10009076098066,5661.919075093818,Premium
Ferme Al Baraka,Fattoria Toscana,Tunisie,Canterbury,0.0,Salades,466.46974902989524,2934.014667211244,Premium
Dairy Meadows,Green Valley Farm,Maroc,Meknès-Fès,0.0,Deglet Nour,1269.8767850484846,2381.361086541787,Bio Certifié
Domaine Saada,Domaine Provence Bio,Italie,Kansas,0.0,Olives à Huile,114.27654349857737,3637.470060916641,Bio Certifié
Domaine Saada,Mercabarna,Nouvelle-Zélande,Meknès-Fès,0.0,Raisins de Table,473.4312891994844,3234.249523426753,Standard
Hacienda El Sol,Coopérative Oasis,Maroc,Île-de-France,0.0,Orge,36.096385389389795,9269.016975245857,Bio Certifié
Green Valley Farm,Union Agricole Méditerranée,Maroc,Kansas,0.0,Pamplemousses,63.297634832887404,3139.9268124859327,Bio Certifié
Rungis International,Marché Wholesale Agadir,France,Sfax,0.0,Olives à Huile,583.976724506938,2294.31804708228,Premium
Domaine Saada,Domaine Saada,Tunisie,Sfax,0.0,Olives de Table,330.49329488002513,4698.002338658034,Premium
Cooperative Grains Alliance,Green Valley Farm,USA,Meknès-Fès,0.0,Raisins de Cuve,2.3675394617790317,12083.938117925518,Standard
Mercabarna,Coopérative Oasis,Espagne,Île-de-France,0.0,Raisins de Cuve,78.62098787975009,3139.8461741865767,Bio Certifié
Fazenda Brasil,Union Agricole Méditerranée,France,Californie,0.0,Olives à Huile,275.5516834918598,942.9869889849939,Bio Certifié
Ferme Al Baraka,Cooperative Grains Alliance,USA,Marrakech-Safi,0.0,Blé,279.0164439297186,3768.3291805819263,Commerce Équitable
Dairy Meadows,Hacienda El Sol,Nouvelle-Zélande,Californie,0.0,Salades,95.45192367622157,62.51568939239951,Standard
