id,type_vehicule,marque_voiture,modele,annee_fabrication,prix,kilometrage
VEH_000098,Voiture,Mercedes,E195,2023,-4291768,15189
VEH_000629,Train,Yamaha,E175,2022,-111748,42662
VEH_000150,Train,Scania,TMAX,2018,-6517,197119
VEH_000983,Moto,Embraer,777,2020,334467,41424
VEH_000834,Bus,Embraer,Lion's City,2016,-3947078,-463
VEH_000569,Train,Bombardier,K,2011,5919197,19115
VEH_000908,Bus,BMW,TGV,2021,4108738,-94
VEH_000725,Bus,Iveco,Velaro,2024,23233741,255217
VEH_000706,Avion,Scania,Vectron,2018,17667746,394430
VEH_000804,Train,Honda,GLE,2016,13621083,194626
VEH_000961,Moto,Embraer,TGS,2023,-2655147,166546
VEH_000928,Avion,Mercedes,Coradia,2022,-117091,232865
VEH_000425,Moto,Yamaha,Multistrada,2026,-2899793,116420
VEH_000635,Avion,Honda,P Series,2023,-2555626,237802
VEH_000178,Bus,Yamaha,Crossway,2020,4558665,86721
VEH_000306,Moto,Ducati,Talent,2024,-4648867,122930
VEH_000273,Bus,Renault,Panigale,2023,-16249,71868
VEH_000737,Moto,Scania,Urbos,2021,97780611,148706
VEH_000577,Moto,Siemens,S Series,2025,-405912,137677
VEH_000357,Moto,MAN,Ninja 650,2021,-1658338,159365
VEH_000321,Voiture,Mercedes,YZF-R6,2017,3623074,169883
VEH_000796,Train,CAF,Ninja 650,2017,207053107,35647
VEH_000773,Moto,Mercedes,Tiguan,2012,32329658,165775
VEH_000334,Train,Scania,Golf,2023,-892654,153916
VEH_000446,Avion,Embraer,P Series,2024,20292813,16384
VEH_000183,Train,Scania,E175,2023,15886680,27873
VEH_000288,Avion,Bombardier,Coradia,2019,79835740,299126
VEH_000303,Bus,MAN,R1,2022,-2564682,34230
VEH_000719,Avion,Iveco,FM,2022,4061347,57567
VEH_000210,Bus,Iveco,S 1000 RR,2024,6922041,-1242
VEH_000760,Voiture,Volkswagen,777,2019,1420907,104548
VEH_000698,Train,Airbus,Evadys,2018,6014005,61778
VEH_000829,Bus,Dacia,Crossway,2024,-1935425,198262
VEH_000171,Camion,Alstom,TGV,2019,-1394776,61930
VEH_000984,Train,BMW,TGX,2021,264347603,42772
VEH_000568,Voiture,Embraer,e-tron,2023,2202076,189969
VEH_000138,Avion,Siemens,E195,2016,-635081,44674
VEH_000940,Moto,Ducati,TGX,2024,-4588574,234972
VEH_000917,Avion,Honda,Sandero,2017,2710182,8153
VEH_000433,Moto,Suzuki,GLA,2019,13882488,310036
VEH_000038,Avion,Volvo,S Series,2017,65758152,222347
VEH_000700,Bus,Siemens,FH,2012,3269974,39614
VEH_000386,Camion,Suzuki,Z900,2014,30647945,147243
VEH_000862,Train,Volvo,TGX,2022,3183329,322993
VEH_000968,Bus,Airbus,TGV,2014,33174321,44974
VEH_000611,Camion,Honda,Lion's Coach,2024,-969942,44805
VEH_000449,Train,Dacia,R 1250 GS,2024,-3195003,181521
VEH_000814,Avion,Peugeot,Lion's Coach,2020,795822,19669
VEH_000105,Train,Boeing,C,2021,1474220,69838
VEH_000371,Moto,Ducati,TGS,2014,95549970,47561
VEH_000347,Bus,Scania,R Series,2016,-5297316,81968
VEH_000920,Camion,Mercedes,P Series,2017,35772965,207617
VEH_000229,Moto,Volvo,Talent,2016,2118054,35434
VEH_000303,Voiture,Alstom,308,2024,-4648660,86726
VEH_000741,Bus,Peugeot,9700,2019,18050106,140886
VEH_000417,Voiture,Renault,YZF-R6,2022,2429086,13053
VEH_000494,Bus,Mercedes,Velaro,2022,288717310,138674
VEH_000868,Voiture,Honda,Sprinter,2017,3671094,24684
VEH_000718,Voiture,Iveco,PCX,2020,27418437,24685
VEH_000017,Avion,Scania,Civity,2020,66656611,152352
VEH_000158,Train,Dacia,208,2026,-5372560,23005
VEH_000796,Bus,Airbus,308,2013,18087277,53927
VEH_000848,Voiture,Honda,Desiro,2020,56111528,99333
VEH_000783,Bus,Embraer,TMAX,2023,55256910,113020
VEH_000764,Train,Dacia,FM,2022,1168026,120478
VEH_000461,Camion,Siemens,MT-07,2021,-2232348,48780
VEH_000048,Moto,Yamaha,P Series,2024,128390,79492
VEH_000007,Train,Boeing,Megane,2021,387808,82534
VEH_000713,Bus,Bombardier,GLE,2023,-1096982,44958
VEH_000212,Moto,Ducati,Multistrada,2024,-3264695,34345
VEH_000651,Train,Mercedes,A320,2020,-408959,221906
VEH_000463,Moto,MAN,A320,2024,14995848,71322
VEH_000496,Train,Volkswagen,Panigale,2022,-1112256,63782
VEH_000924,Camion,Audi,Vectron,2021,-857286,-1642
