produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Aspirateur Dyson V15,Alimentation,L'Oréal,-111.32097504791028,Aucune,205,Standard,1144
Chocolat Lindt,Sport,Adidas,-105.18533223832401,Aucune,296,Première Commande,726
Adidas Survêtement,Beauté,Apple,1533.8299761031076,Aucune,88,Standard,257
H&M T-Shirt,Alimentation,Zara,-48.90765649263169,Aucune,376,Standard,602
iPhone 15 Pro,Sport,Lindt,-38.71038348732904,Aucune,266,Première Commande,509
Lampe Philips Hue,Électronique,Nike,712.632136982859,Aucune,78,Standard,389
Vélo Décathlon,Électronique,Chanel,360.69598225214713,Aucune,323,Luxe,988
Aspirateur Dyson V15,Alimentation,Apple,503.4265803860174,Aucune,439,Budget,938
Canapé IKEA Ektorp,Mode,Adidas,-8.846540220982192,Soldes -20%,282,Standard,314
Nike Air Max,Électronique,IKEA,45.22835477709346,Aucune,340,Première Commande,2142
Lampe Philips Hue,Maison,Décathlon,37.86883909183901,Aucune,406,Première Commande,866
Chocolat Lindt,Sport,Lindt,139.9379234807288,Aucune,1132,Standard,1075
MacBook Air M3,Maison,Lavazza,42.74003919115722,Aucune,608,Premium,746
Adidas Survêtement,Mode,Danone,911.8118999359641,Aucune,-42,Standard,584
Crème L'Oréal,Alimentation,Philips,224.28144949504133,Aucune,42,Premium,356
AirPods Pro,Électronique,Nike,164.1858996026182,Aucune,66,Standard,2115
Café Arabica,Alimentation,Apple,9.416054798916889,Aucune,701,Standard,515
Vélo Décathlon,Électronique,Décathlon,17.626182360099307,Aucune,416,Luxe,480
Canapé IKEA Ektorp,Maison,Lindt,-61.36744291181198,Aucune,624,Budget,-9
Ballon Nike,Mode,Danone,96.87883604025387,Aucune,221,Luxe,438
Huile d'Olive Bio,Mode,Chanel,125.07219578413486,Aucune,86,Budget,677
PlayStation 5,Électronique,H&M,31.077222213520812,Soldes -30%,10,Premium,388
Yaourt Nature,Alimentation,Chanel,273.2891043501937,Aucune,1823,Standard,732
MacBook Air M3,Sport,Terra Bio,1067.7229109074494,Black Friday -40%,1060,Premium,784
Nike Air Max,Mode,Apple,190.5489086568849,Aucune,-9,Premium,146
Aspirateur Dyson V15,Maison,Lindt,8.04577663630775,Aucune,30,Première Commande,1529
Chocolat Lindt,Électronique,Décathlon,6.041955983282207,Aucune,235,Standard,1988
MacBook Air M3,Mode,Chanel,-6.277176499848132,Cyber Monday -35%,91,Budget,319
PlayStation 5,Maison,Adidas,-179.37219112672716,Aucune,274,Budget,303
Vélo Décathlon,Alimentation,Adidas,-46.13159828127456,Soldes -30%,330,Budget,4
Adidas Survêtement,Mode,Décathlon,541.1597496865679,Soldes -20%,254,Budget,87
Crème L'Oréal,Maison,Terra Bio,-42.81091736591098,Aucune,332,Luxe,964
Vélo Décathlon,Mode,Nike,782.1196487176175,Aucune,528,Premium,424
iPhone 15 Pro,Alimentation,Chanel,-62.9427094391873,Soldes -30%,467,Premium,341
Zara Veste Hiver,Alimentation,Nike,-96.10599447896482,Aucune,102,Budget,282
Chocolat Lindt,Mode,Nike,1347.3887499739292,Soldes -20%,706,Standard,451
Café Arabica,Alimentation,Adidas,402.662952093436,Black Friday -40%,3379,Budget,95
Chocolat Lindt,Maison,Zara,758.5731102801849,Aucune,323,Standard,2649
Café Arabica,Beauté,Adidas,-31.2180713792484,Aucune,-68,Standard,119
Ballon Nike,Mode,H&M,120.42975944481763,Soldes -20%,1147,Standard,226
Yaourt Nature,Maison,Sony,45.744012777987095,Soldes -20%,1005,Premium,254
Canapé IKEA Ektorp,Maison,Zara,99.0445391341181,Soldes -30%,148,Standard,440
AirPods Pro,Maison,Samsung,735.3327650172283,Aucune,193,Standard,714
Aspirateur Dyson V15,Électronique,Samsung,182.00837714699102,Aucune,-24,Luxe,632
Ballon Nike,Électronique,Apple,480.00491458908994,Aucune,540,Première Commande,368
Huile d'Olive Bio,Beauté,Apple,639.7368811203097,Black Friday -40%,101,Premium,255
Lampe Philips Hue,Maison,Décathlon,14.482705488777597,Aucune,246,Standard,216
Zara Veste Hiver,Électronique,Dyson,1577.9290347889123,Aucune,246,Luxe,593
Canapé IKEA Ektorp,Beauté,Sony,-68.9595311670339,Aucune,311,Premium,564
AirPods Pro,Mode,Samsung,716.291360648127,Aucune,452,Standard,40
Lampe Philips Hue,Maison,Terra Bio,-100.97616571752792,Aucune,769,Budget,2111
Crème L'Oréal,Électronique,Samsung,600.971747605592,Aucune,126,Budget,227
Samsung Galaxy S24,Électronique,Apple,-72.68571053204337,2ème à -50%,569,Premium,464
Canapé IKEA Ektorp,Mode,Zara,139.97047430345583,Soldes -30%,246,Standard,709
Yaourt Nature,Sport,IKEA,-83.80482203527089,Cyber Monday -35%,758,Luxe,258
Crème L'Oréal,Alimentation,Apple,667.8741731260855,3 pour 2,140,Premium,652
H&M T-Shirt,Sport,Chanel,263.0671313038167,Aucune,2237,Luxe,1060
AirPods Pro,Beauté,H&M,533.673126237572,Soldes -30%,281,Standard,84
Nike Air Max,Électronique,Adidas,469.81863680060155,Aucune,321,Luxe,260
Parfum Chanel N°5,Mode,Samsung,29.350641740214282,Aucune,124,Standard,934
Lampe Philips Hue,Alimentation,Décathlon,-130.74870430845323,Aucune,901,Budget,666
Huile d'Olive Bio,Sport,Lindt,-88.04032030678732,Aucune,800,Budget,521
Café Arabica,Électronique,Adidas,57.702072742765964,Aucune,625,Luxe,1028
H&M T-Shirt,Mode,Zara,-44.947936124306864,Aucune,414,Standard,482
MacBook Air M3,Alimentation,Apple,-46.33105153123745,Aucune,485,Premium,747
Nike Air Max,Mode,IKEA,14.790647373386605,Cyber Monday -35%,-23,Luxe,631
MacBook Air M3,Électronique,H&M,369.4609913396145,Cyber Monday -35%,989,Standard,338
MacBook Air M3,Électronique,Terra Bio,92.18051466785249,Aucune,-35,Premium,393
Parfum Chanel N°5,Sport,Zara,-24.268070941048606,Aucune,480,Premium,493
AirPods Pro,Électronique,Apple,13.333213622095414,Aucune,376,Premium,1019
Nike Air Max,Électronique,Nike,716.7926315023037,Soldes -20%,154,Standard,249
Zara Veste Hiver,Maison,Adidas,-91.49477708324937,Black Friday -40%,246,Première Commande,170
Parfum Chanel N°5,Électronique,Lindt,522.0389040197372,Soldes -30%,338,Standard,158
Vélo Décathlon,Électronique,Philips,62.20138931587408,Soldes -20%,225,Première Commande,236
Parfum Chanel N°5,Électronique,Nike,133.7440507319351,Aucune,2256,Budget,908
Yaourt Nature,Maison,Terra Bio,572.7642587292105,Soldes -20%,488,Budget,188
Crème L'Oréal,Alimentation,Danone,320.15451045428836,Aucune,160,Budget,766
Adidas Survêtement,Mode,Apple,-82.96807361286537,Soldes -50%,244,Standard,1423
Vélo Décathlon,Beauté,Dyson,9.148868990456492,Soldes -20%,-57,Budget,230
Samsung Galaxy S24,Mode,Apple,-61.659282369886455,Aucune,755,Premium,2326
iPhone 15 Pro,Sport,Adidas,-72.48923427409994,Soldes -30%,450,Première Commande,712
H&M T-Shirt,Beauté,Nike,116.34729731641642,Aucune,1381,Budget,398
Vélo Décathlon,Alimentation,Philips,18.73106026323318,Soldes -20%,374,Standard,956
Adidas Survêtement,Sport,Philips,1487.3688467354,Aucune,-15,Luxe,112
Nike Air Max,Sport,Chanel,53.80108978285102,Soldes -30%,520,Premium,924
Lampe Philips Hue,Maison,Décathlon,619.4829586046263,Soldes -30%,185,Standard,99
Lampe Philips Hue,Beauté,Dyson,895.9207550385056,Aucune,544,Budget,376
Parfum Chanel N°5,Sport,Sony,29.806402430860675,Aucune,310,Premium,420
Canapé IKEA Ektorp,Électronique,Zara,-22.97405140212176,Aucune,278,Standard,348
Samsung Galaxy S24,Beauté,Samsung,-50.30490889674968,Aucune,2236,Luxe,978
MacBook Air M3,Sport,Dyson,-21.174113478329886,Promo Flash -25%,1693,Budget,214
MacBook Air M3,Mode,Nike,555.0563336706778,Aucune,489,Premium,1777
Yaourt Nature,Mode,Décathlon,3.1498191427409097,Aucune,231,Standard,-15
Canapé IKEA Ektorp,Électronique,Nike,5.772448132968549,Soldes -30%,196,Première Commande,854
Huile d'Olive Bio,Alimentation,Lavazza,-431.5649358878674,Cyber Monday -35%,928,Standard,208
Lampe Philips Hue,Maison,Philips,84.7731496214156,Aucune,1072,Première Commande,968
AirPods Pro,Alimentation,Décathlon,133.48202348179072,Aucune,265,Luxe,-85
Nike Air Max,Sport,Nike,350.77377948430103,Cyber Monday -35%,1032,Budget,84
Zara Veste Hiver,Sport,Philips,-28.765924253118158,Aucune,481,Premium,627
Yaourt Nature,Maison,Philips,555.3049877465214,Soldes -20%,69,Première Commande,147
Lampe Philips Hue,Mode,Nike,354.5993230989727,3 pour 2,925,Premium,431
Canapé IKEA Ektorp,Électronique,Nike,55.92935412388068,Aucune,167,Budget,588
Aspirateur Dyson V15,Sport,Adidas,164.6172355913065,Aucune,80,Luxe,208
Vélo Décathlon,Mode,Danone,623.2920685600625,Aucune,217,Standard,282
Samsung Galaxy S24,Mode,Nike,-80.07267512749382,Aucune,420,Luxe,730
iPhone 15 Pro,Maison,Chanel,-41.8488283569654,Aucune,316,Standard,244
Vélo Décathlon,Mode,Lindt,79.44887084980078,Aucune,698,Luxe,988
H&M T-Shirt,Maison,Sony,33.24349618783868,3 pour 2,3,Première Commande,278
AirPods Pro,Électronique,Dyson,-19.575939838626482,Soldes -30%,112,Standard,186
MacBook Air M3,Beauté,L'Oréal,23.740056307789303,Aucune,539,Budget,445
Zara Veste Hiver,Mode,Chanel,66.21876173193908,Aucune,98,Premium,328
Vélo Décathlon,Électronique,Chanel,784.3152818145591,Aucune,460,Standard,788
Samsung Galaxy S24,Électronique,Apple,436.1473996762878,Soldes -30%,524,Standard,444
Samsung Galaxy S24,Maison,Apple,368.5732625583114,Aucune,-17,Budget,429
Canapé IKEA Ektorp,Beauté,Adidas,-57.30435064704966,Soldes -50%,-5,Budget,148
AirPods Pro,Alimentation,Lavazza,-32.6154601731356,Aucune,554,Budget,425
Zara Veste Hiver,Mode,Nike,228.32004138809856,Aucune,337,Budget,2334
Lampe Philips Hue,Électronique,Nike,119.63393434163623,Aucune,430,Budget,129
