produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
MacBook Air M3,Mode,Apple,236.1874173734908,Aucune,391,Budget,621
Nike Air Max,Électronique,Samsung,-1.1000803886330104,Aucune,-12,Budget,-3
Nike Air Max,Électronique,Apple,586.9045336749474,Aucune,290,Luxe,498
iPhone 15 Pro,Électronique,Lavazza,41.88895689263981,Aucune,754,Budget,316
PlayStation 5,Électronique,Nike,334.4888877581386,Aucune,969,Budget,940
Parfum Chanel N°5,Alimentation,Sony,99.80114279342826,Aucune,233,Standard,1698
PlayStation 5,Sport,H&M,466.6680174290383,Aucune,84,Premium,151
Zara Veste Hiver,Mode,Danone,173.1966702207413,Soldes -20%,1493,Premium,490
Zara Veste Hiver,Mode,Dyson,503.9606527613039,Aucune,294,Premium,317
MacBook Air M3,Électronique,Décathlon,168.43795418711335,Aucune,242,Luxe,836
Canapé IKEA Ektorp,Beauté,Samsung,134.9103812529395,Aucune,742,Standard,1074
Adidas Survêtement,Beauté,Chanel,174.26571666946057,Aucune,303,Premium,783
H&M T-Shirt,Mode,Sony,1720.9948078254924,Aucune,4661,Standard,108
Canapé IKEA Ektorp,Alimentation,Samsung,1109.7711073248877,Aucune,1085,Premium,985
Zara Veste Hiver,Électronique,Lavazza,89.05658529350973,Aucune,840,Premium,965
Parfum Chanel N°5,Mode,Lavazza,620.5462165698584,Aucune,179,Premium,362
Lampe Philips Hue,Maison,Apple,467.28092147562415,Aucune,467,Premium,150
Zara Veste Hiver,Alimentation,Dyson,44.147363062386226,Soldes -20%,310,Standard,655
Huile d'Olive Bio,Alimentation,Lavazza,190.46854498432924,Aucune,698,Premium,444
Parfum Chanel N°5,Mode,Chanel,1262.5316266826217,Aucune,134,Premium,359
Lampe Philips Hue,Beauté,Lindt,66.63917460538835,Soldes -20%,324,Premium,488
AirPods Pro,Maison,Samsung,65.70685391696524,Aucune,445,Standard,383
Ballon Nike,Électronique,Chanel,-7.662053147463666,Cyber Monday -35%,698,Budget,464
Adidas Survêtement,Sport,Apple,760.3181901766385,Aucune,1793,Budget,129
Ballon Nike,Mode,Zara,310.57457967976984,Aucune,253,Standard,360
Crème L'Oréal,Maison,Chanel,124.3615842609641,Aucune,411,Standard,367
Lampe Philips Hue,Mode,Adidas,42.74566962353623,Aucune,276,Luxe,989
Chocolat Lindt,Sport,Samsung,181.43632824291558,Aucune,178,Premium,51
Nike Air Max,Beauté,Apple,548.0553154793885,Soldes -30%,415,Premium,286
Aspirateur Dyson V15,Alimentation,Apple,188.85226280045978,Aucune,235,Standard,448
Yaourt Nature,Mode,Lavazza,122.22373568263379,Aucune,513,Luxe,307
Canapé IKEA Ektorp,Mode,Danone,632.6948676749944,Aucune,909,Standard,77
Lampe Philips Hue,Électronique,Apple,262.55372473571856,Aucune,352,Première Commande,249
Parfum Chanel N°5,Mode,Philips,59.94568382335806,Aucune,331,Standard,834
PlayStation 5,Électronique,Sony,13.682952870999237,2ème à -50%,864,Premium,719
Adidas Survêtement,Sport,Samsung,88.14067506523651,Soldes -30%,361,Premium,1356
Vélo Décathlon,Sport,Sony,691.8482675276509,2ème à -50%,269,Premium,227
Chocolat Lindt,Maison,Nike,10.330198103449781,Promo Flash -25%,1031,Standard,451
Canapé IKEA Ektorp,Alimentation,L'Oréal,1212.6329531302492,Promo Flash -25%,1443,Budget,1621
Ballon Nike,Mode,Apple,-54.37550820915713,Aucune,404,Standard,694
Chocolat Lindt,Alimentation,Adidas,61.92164514082651,Aucune,121,Luxe,2225
AirPods Pro,Électronique,Zara,381.86655364895904,Aucune,223,Budget,320
Zara Veste Hiver,Mode,Apple,385.9997963209672,Soldes -20%,321,Luxe,851
Crème L'Oréal,Alimentation,Terra Bio,701.2055766101296,Aucune,-45,Standard,53
Crème L'Oréal,Beauté,H&M,628.8040144901994,Soldes -20%,1613,Standard,548
Samsung Galaxy S24,Électronique,Apple,-53.70613158372856,Soldes -30%,471,Premium,317
AirPods Pro,Sport,Zara,140.61932947357755,Soldes -30%,607,Standard,432
Samsung Galaxy S24,Mode,Danone,488.2898840046207,Aucune,676,Budget,2073
Vélo Décathlon,Électronique,Nike,838.6306574016073,Aucune,2333,Premium,459
Zara Veste Hiver,Mode,Lavazza,356.0001149598887,Promo Flash -25%,273,Premium,126
Aspirateur Dyson V15,Mode,Dyson,11.590006083624594,Soldes -20%,483,Budget,343
Nike Air Max,Électronique,IKEA,63.6692674018229,Black Friday -40%,1695,Luxe,223
Adidas Survêtement,Beauté,Adidas,1091.921056935071,Cyber Monday -35%,290,Budget,39
Zara Veste Hiver,Beauté,L'Oréal,36.27386582171489,3 pour 2,17,Premium,772
Chocolat Lindt,Alimentation,Terra Bio,-108.2140629174587,Aucune,1019,Budget,289
Parfum Chanel N°5,Mode,Chanel,356.8723764622632,Black Friday -40%,614,Standard,369
iPhone 15 Pro,Sport,Danone,-8.280443604167033,Soldes -30%,-118,Luxe,69
Canapé IKEA Ektorp,Électronique,Zara,204.3997159841209,Promo Flash -25%,275,Standard,883
Yaourt Nature,Mode,Lindt,-15.455850209372286,Aucune,379,Premium,259
PlayStation 5,Sport,Nike,68.87464204191883,Promo Flash -25%,174,Premium,207
Samsung Galaxy S24,Sport,Lavazza,415.7704481315908,Aucune,304,Luxe,1070
Vélo Décathlon,Électronique,Apple,-134.71723596473822,Aucune,108,Premium,333
Samsung Galaxy S24,Alimentation,Décathlon,56.312182429246974,Aucune,1087,Luxe,338
MacBook Air M3,Sport,Sony,-57.74593138284294,Aucune,569,Première Commande,143
Huile d'Olive Bio,Mode,Danone,123.73935289884058,Cyber Monday -35%,214,Standard,486
Lampe Philips Hue,Alimentation,Lavazza,111.28553161969757,Aucune,286,Budget,170
Zara Veste Hiver,Mode,L'Oréal,-89.76180962693982,Soldes -30%,719,Luxe,223
Zara Veste Hiver,Mode,Samsung,1770.4041369044708,Aucune,186,Premium,192
Ballon Nike,Électronique,Sony,42.33671287639525,Aucune,401,Standard,979
Vélo Décathlon,Électronique,Nike,622.3808137581036,Aucune,245,Premium,905
Samsung Galaxy S24,Mode,Samsung,78.47850063523849,Aucune,364,Premium,124
Zara Veste Hiver,Sport,Dyson,99.84015867563454,Aucune,366,Luxe,914
Adidas Survêtement,Électronique,Samsung,735.4835535875715,Promo Flash -25%,284,Budget,357
