id,athlete,sport,pays,resultat,date
id_00000542,Novak Djokovic,Football,Maroc,Victoire,2024-01-09
id_00000504,Kylian Mbappé,Basketball,USA,Défaite,2024-08-14
id_00000378,Hakim Ziyech,Football,Allemagne,Nul,2024-06-10
id_00000229,Faith Kipyegon,Athlétisme,Afrique du Sud,Défaite,2024-07-04
id_00000354,Mondo Duplantis,Rugby,Angleterre,Nul,2024-11-17
id_00000832,Achraf Hakimi,Tennis,Angleterre,Défaite,2024-01-04
id_00000879,Hakim Ziyech,Football,USA,Défaite,2024-11-12
id_00000384,Antoine Dupont,Football,Angleterre,Défaite,2024-10-18
id_00000731,Faith Kipyegon,Rugby,Espagne,Nul,2024-10-24
id_00000828,Novak Djokovic,Football,Espagne,Nul,2024-06-24
id_00000041,Antoine Dupont,Football,Afrique du Sud,Victoire,2024-03-03
id_00000868,Mohamed Salah,Tennis,France,Défaite,2024-10-02
id_00000474,Aryna Sabalenka,Athlétisme,France,Défaite,2024-04-26
id_00000721,Giannis Antetokounmpo,Basketball,USA,Défaite,2024-04-25
id_00000024,Hakim Ziyech,Football,USA,Nul,2024-03-13
id_00000629,Antoine Dupont,Tennis,USA,Défaite,2024-02-07
id_00000848,Hakim Ziyech,Tennis,USA,Défaite,2024-08-26
id_00000475,Kylian Mbappé,Tennis,Maroc,Nul,2024-01-01
id_00000927,Novak Djokovic,Tennis,France,Victoire,2024-03-19
id_00000319,Kevin Durant,Basketball,USA,Défaite,2024-12-06
id_00000888,Eliud Kipchoge,Tennis,Espagne,Victoire,2024-04-03
id_00000473,Erling Haaland,Tennis,USA,Défaite,2024-11-28
id_00000868,Giannis Antetokounmpo,Tennis,Espagne,Victoire,2024-10-31
id_00000123,Achraf Hakimi,Tennis,USA,Victoire,2024-05-09
id_00000169,Erling Haaland,Athlétisme,Espagne,Victoire,2024-03-07
id_00000869,Giannis Antetokounmpo,Athlétisme,France,Défaite,2024-02-07
id_00000955,Giannis Antetokounmpo,Tennis,Espagne,Défaite,2024-02-24
id_00000803,Kevin Durant,Tennis,Angleterre,Défaite,2024-08-20
id_00000002,Kevin Durant,Football,Espagne,Victoire,2024-12-03
id_00000286,Achraf Hakimi,Football,Maroc,Victoire,2024-12-22
id_00000581,Erling Haaland,Football,Espagne,Nul,2024-05-22
id_00000716,Mohamed Salah,Tennis,Maroc,Victoire,2024-12-23
id_00000235,Beauden Barrett,Football,Afrique du Sud,Nul,2024-09-30
id_00000620,Antoine Dupont,Tennis,Angleterre,Victoire,2024-01-15
id_00000291,Achraf Hakimi,Tennis,France,Victoire,2024-02-05
id_00000708,Erling Haaland,Football,Allemagne,Défaite,2024-08-18
id_00000104,Achraf Hakimi,Rugby,USA,Victoire,2024-12-30
id_00000470,Mohamed Salah,Tennis,USA,Victoire,2024-06-19
id_00000593,Iga Świątek,Football,Allemagne,Défaite,2024-05-26
id_00000451,Achraf Hakimi,Athlétisme,Afrique du Sud,Défaite,2024-01-13
id_00000717,Kevin Durant,Basketball,USA,Défaite,2024-04-03
id_00000810,Hakim Ziyech,Rugby,Nouvelle-Zélande,Défaite,2024-10-03
id_00000913,Hakim Ziyech,Football,Espagne,Défaite,2024-08-14
id_00000770,LeBron James,Football,Nouvelle-Zélande,Défaite,2024-01-17
id_00000597,Iga Świątek,Tennis,France,Victoire,2024-05-21
id_00000096,Cheslin Kolbe,Football,Espagne,Nul,2024-02-14
id_00000797,Hakim Ziyech,Athlétisme,Espagne,Nul,2024-07-31
id_00000759,Beauden Barrett,Football,Nouvelle-Zélande,Victoire,2024-09-29
id_00000226,LeBron James,Rugby,Angleterre,Victoire,2024-04-16
id_00000396,Kevin Durant,Athlétisme,Espagne,Défaite,2024-05-14
id_00000769,Beauden Barrett,Football,Espagne,Défaite,2024-01-26
id_00000405,Hakim Ziyech,Tennis,USA,Nul,2024-04-22
id_00000101,Carlos Alcaraz,Tennis,USA,Défaite,2024-02-08
id_00000181,LeBron James,Tennis,USA,Victoire,2024-02-26
id_00000539,Carlos Alcaraz,Football,Espagne,Nul,2024-05-30
id_00000473,Hakim Ziyech,Football,USA,Défaite,2024-11-17
id_00000033,Kevin Durant,Tennis,USA,Victoire,2024-01-12
id_00000841,Erling Haaland,Tennis,Nouvelle-Zélande,Nul,2024-11-25
id_00000044,Novak Djokovic,Basketball,USA,Victoire,2024-04-29
id_00000579,Antoine Dupont,Tennis,France,Défaite,2024-02-24
id_00000784,Hakim Ziyech,Tennis,Espagne,Défaite,2024-09-01
id_00000220,Mohamed Salah,Football,Espagne,Nul,2024-11-01
id_00000060,LeBron James,Tennis,USA,Défaite,2024-05-03
id_00000263,Cheslin Kolbe,Tennis,USA,Victoire,2024-10-30
