produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Aspirateur Dyson V15,Alimentation,Nike,-17.77964570719365,Aucune,302,Budget,138
Aspirateur Dyson V15,Maison,Chanel,-37.183164097743486,Aucune,42,Luxe,86
H&M T-Shirt,Maison,Zara,37.82089269961854,Aucune,84,Première Commande,104
Adidas Survêtement,Électronique,Dyson,142.888565350802,Soldes -20%,5586,Budget,154
Adidas Survêtement,Électronique,Apple,23.61652312641647,Aucune,131,Premium,-76
Crème L'Oréal,Maison,Nike,460.7736370766282,Aucune,225,Standard,304
Café Arabica,Alimentation,Décathlon,-117.27690489175126,Aucune,374,Premium,471
Parfum Chanel N°5,Beauté,Nike,-28.820131365611132,3 pour 2,131,Budget,678
H&M T-Shirt,Mode,IKEA,339.51271213476286,Aucune,925,Standard,403
Café Arabica,Électronique,Apple,172.86626965175867,Soldes -20%,133,Luxe,284
Lampe Philips Hue,Mode,Décathlon,673.8001844239462,Soldes -20%,1036,Luxe,138
Yaourt Nature,Beauté,L'Oréal,979.5885053034189,Aucune,352,Premium,440
Samsung Galaxy S24,Sport,Dyson,21.491989454760986,Aucune,30,Budget,1662
Ballon Nike,Mode,Zara,-55.98201807909926,Aucune,395,Luxe,361
Nike Air Max,Sport,Samsung,90.01813585552816,2ème à -50%,127,Standard,1610
Zara Veste Hiver,Mode,Dyson,516.8834607387904,Aucune,403,Premium,562
Lampe Philips Hue,Sport,L'Oréal,626.3285393031564,Aucune,1759,Premium,522
Canapé IKEA Ektorp,Beauté,Adidas,6.276038976321367,Aucune,231,Standard,242
Yaourt Nature,Électronique,Décathlon,46.94413205532936,Aucune,1675,Luxe,926
Nike Air Max,Sport,Philips,944.7531060275867,Aucune,381,Standard,271
Canapé IKEA Ektorp,Électronique,Danone,633.6557676057407,Aucune,210,Premium,1961
Zara Veste Hiver,Électronique,Adidas,241.7042086155073,Soldes -30%,246,Standard,1526
MacBook Air M3,Sport,Nike,632.5171387094981,Aucune,151,Première Commande,495
PlayStation 5,Mode,L'Oréal,151.79294439418047,Aucune,428,Standard,947
MacBook Air M3,Mode,Apple,187.90627737107036,Aucune,305,Standard,461
Parfum Chanel N°5,Mode,Samsung,-64.04338932583339,Soldes -50%,770,Standard,350
Zara Veste Hiver,Mode,Samsung,557.0014664423124,Aucune,66,Standard,848
Samsung Galaxy S24,Sport,Zara,378.10165962016015,Aucune,273,Budget,317
Canapé IKEA Ektorp,Mode,Terra Bio,128.66661850438965,Soldes -20%,578,Standard,195
MacBook Air M3,Sport,Terra Bio,237.503348139531,Aucune,514,Budget,468
Canapé IKEA Ektorp,Mode,Nike,571.9640167969956,Soldes -20%,-69,Première Commande,468
MacBook Air M3,Mode,Adidas,0.6917809761886815,Aucune,662,Standard,526
Parfum Chanel N°5,Mode,Chanel,126.75252871394551,Soldes -20%,336,Standard,411
Vélo Décathlon,Beauté,Adidas,85.06110788112903,Aucune,432,Budget,375
Adidas Survêtement,Sport,Sony,441.6820402619037,Aucune,239,Premium,1129
Crème L'Oréal,Mode,Décathlon,105.33237705349654,Soldes -20%,318,Standard,635
Samsung Galaxy S24,Électronique,Zara,40.19137742922982,Aucune,3177,Standard,234
Adidas Survêtement,Mode,Dyson,426.31078005626784,Aucune,338,Budget,131
Adidas Survêtement,Mode,Nike,171.88852933395432,Aucune,285,Premium,818
Ballon Nike,Mode,Adidas,61.64131294676829,Aucune,260,Premium,103
Samsung Galaxy S24,Électronique,L'Oréal,-70.60498746445444,Soldes -50%,427,Luxe,2245
Zara Veste Hiver,Beauté,Nike,130.52436462202502,Aucune,452,Luxe,176
AirPods Pro,Alimentation,Décathlon,58.16755834754978,Soldes -20%,156,Premium,246
Huile d'Olive Bio,Électronique,Sony,7.6361193706943595,Aucune,526,Luxe,1910
Chocolat Lindt,Mode,Zara,-68.66958692361379,Cyber Monday -35%,1159,Budget,465
Yaourt Nature,Maison,Apple,937.9202116217588,Aucune,259,Budget,279
Crème L'Oréal,Sport,IKEA,556.9919661772636,Cyber Monday -35%,515,Budget,494
Aspirateur Dyson V15,Sport,Dyson,-41.085521297593814,Aucune,357,Luxe,945
PlayStation 5,Beauté,Danone,107.41718466772048,Aucune,397,Standard,245
Huile d'Olive Bio,Électronique,Décathlon,576.728787310876,Aucune,453,Standard,448
Lampe Philips Hue,Électronique,Samsung,-22.99405446522252,Aucune,166,Premium,916
Nike Air Max,Mode,Philips,1295.619387011425,Soldes -20%,144,Premium,54
Vélo Décathlon,Sport,Chanel,1127.9040455641161,Aucune,781,Premium,296
iPhone 15 Pro,Alimentation,Décathlon,306.35653243576235,Aucune,313,Standard,445
Samsung Galaxy S24,Beauté,Samsung,243.99588426313366,Promo Flash -25%,716,Standard,635
Parfum Chanel N°5,Mode,H&M,603.725059414598,Aucune,438,Standard,368
Zara Veste Hiver,Sport,Philips,718.2778109179375,Soldes -20%,709,Standard,585
Lampe Philips Hue,Mode,Lindt,-48.0305750222724,Soldes -20%,212,Standard,373
Chocolat Lindt,Sport,Philips,-8.870052241978975,Soldes -50%,308,Luxe,941
Lampe Philips Hue,Mode,IKEA,-56.266165227302835,Aucune,167,Standard,115
Lampe Philips Hue,Maison,Lindt,50.27076815265814,Aucune,823,Budget,1486
PlayStation 5,Mode,Nike,463.6214945730908,Aucune,237,Standard,458
Parfum Chanel N°5,Alimentation,Lindt,-175.57870471459904,Aucune,276,Budget,568
AirPods Pro,Beauté,Philips,645.957560899928,Soldes -20%,171,Premium,678
Ballon Nike,Beauté,H&M,1561.3585223867387,Aucune,473,Première Commande,432
AirPods Pro,Maison,Sony,-41.94612839611496,Aucune,247,Standard,107
H&M T-Shirt,Maison,H&M,413.6594115810459,Aucune,52,Standard,200
Samsung Galaxy S24,Électronique,Décathlon,-13.001223830111599,Soldes -30%,1662,Luxe,550
Huile d'Olive Bio,Alimentation,Adidas,403.42387457955965,Soldes -50%,55,Premium,420
Chocolat Lindt,Électronique,Adidas,629.0610435316198,Aucune,2035,Budget,558
Parfum Chanel N°5,Électronique,L'Oréal,-115.50485894887038,Aucune,108,Luxe,248
Huile d'Olive Bio,Électronique,Philips,-118.44589198202146,Aucune,277,Premium,405
Aspirateur Dyson V15,Beauté,H&M,779.1607752109398,Black Friday -40%,133,Premium,1106
Aspirateur Dyson V15,Alimentation,H&M,32.171842151491276,Black Friday -40%,990,Premium,542
Huile d'Olive Bio,Électronique,Terra Bio,42.80608052548911,Promo Flash -25%,102,Budget,763
AirPods Pro,Mode,L'Oréal,331.73242651456525,Black Friday -40%,517,Budget,712
Canapé IKEA Ektorp,Mode,Apple,1569.274546605775,Aucune,506,Standard,400
Ballon Nike,Sport,Chanel,104.04851127701545,Aucune,251,Premium,-22
H&M T-Shirt,Alimentation,Apple,-152.75933982938926,Aucune,434,Budget,449
Canapé IKEA Ektorp,Mode,IKEA,666.9875187962443,Aucune,443,Luxe,867
AirPods Pro,Électronique,L'Oréal,1002.1109308738285,3 pour 2,1011,Luxe,985
Yaourt Nature,Sport,Nike,-73.72926349391604,Soldes -30%,549,Budget,416
Café Arabica,Maison,Apple,315.0588971641911,Aucune,288,Standard,156
Café Arabica,Maison,Apple,457.2166092752655,Aucune,335,Standard,210
Ballon Nike,Mode,H&M,867.4239529048094,Aucune,198,Standard,2452
Vélo Décathlon,Électronique,Décathlon,54.56173873700203,3 pour 2,558,Standard,688
Yaourt Nature,Électronique,Chanel,-48.04778672404585,Aucune,203,Premium,381
Chocolat Lindt,Alimentation,Nike,19.017609236188704,Aucune,370,Budget,453
Canapé IKEA Ektorp,Mode,Apple,-8.985862563982081,Aucune,392,Standard,665
MacBook Air M3,Maison,Philips,-80.56305743283404,Black Friday -40%,899,Premium,2558
