exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Ferme Al Baraka,Hacienda El Sol,USA,São Paulo,0.0,Olives à Huile,196.2182362589151,4161.065659916108,Bio Certifié
Mercabarna,Coopérative Oasis,Maroc,Canterbury,0.0,Olives à Huile,80.78097492232808,1849.666740001912,Standard
Domaine Provence Bio,Marché Wholesale Agadir,Espagne,São Paulo,0.0,Pommes,559.727637584169,3188.9647287139787,Standard
Mercabarna,Ferme Al Baraka,Maroc,Souss-Massa,0.0,Tomates,-3.4642669482121775,2704.2394775909506,Premium
Fazenda Brasil,Mercabarna,France,Sfax,0.0,Olives à Huile,186.6649249931621,11922.698688618946,Standard
Domaine Saada,Cooperative Grains Alliance,USA,Catalogne,0.0,Maïs,78.81835585522626,172.11030398292792,Bio Certifié
Mercabarna,Fazenda Brasil,Tunisie,São Paulo,0.0,Arabica,106.61511735618745,2763.7878502744097,Bio Certifié
Green Valley Farm,Fazenda Brasil,France,Souss-Massa,0.0,Salades,198.84476349523,3520.205817409068,Standard
Fazenda Brasil,Fazenda Brasil,Maroc,Meknès-Fès,0.0,Riz,459.2202930932126,3259.3804761780025,Premium
Domaine Saada,Ferme Al Baraka,France,Meknès-Fès,0.0,Raisins de Cuve,61.694185018778434,4490.474401819757,Standard
Fattoria Toscana,Fattoria Toscana,Brésil,Sfax,0.0,Olives à Huile,124.5988609839626,-653.5837485189602,Standard
Green Valley Farm,Ferme Al Baraka,Espagne,Toscane,0.0,Raisins de Table,74.04541824162284,14251.599026880955,Bio Certifié
Rungis International,Coopérative Oasis,Brésil,Île-de-France,0.0,Oranges,159.83365631397405,4652.649092080803,Standard
Union Agricole Méditerranée,Domaine Provence Bio,Italie,Île-de-France,0.0,Salades,175.96283057135517,9541.303430438598,Standard
Fattoria Toscana,Hacienda El Sol,France,Kansas,0.0,Arabica,-29.221917602542227,1959.9555707556415,Bio Certifié
Hacienda El Sol,Fattoria Toscana,Italie,Andalousie,0.0,Raisins de Cuve,121.35556094901978,7982.9143635730925,Bio Certifié
Domaine Saada,Ferme Al Baraka,France,Kansas,0.0,Olives à Huile,303.527833859991,3152.793191449049,Standard
Green Valley Farm,Coopérative Oasis,France,Provence,0.0,Tomates,181.53040498084334,15638.018647820509,Standard
Rungis International,Ferme Al Baraka,Tunisie,Canterbury,0.0,Lait,218.46621100598475,3398.2765478141364,Bio Certifié
Ferme Al Baraka,Domaine Saada,Nouvelle-Zélande,Catalogne,0.0,Tomates,235.42239653700034,4453.626612968338,Commerce Équitable
Domaine Provence Bio,Rungis International,Maroc,Meknès-Fès,0.0,Bananes,769.0493015803816,3717.910271510151,Commerce Équitable
Fazenda Brasil,Rungis International,Nouvelle-Zélande,Californie,0.0,Pamplemousses,-7.798182020464303,3246.4509541145917,Bio Certifié
Rungis International,Cooperative Grains Alliance,Maroc,Californie,0.0,Medjool,165.17178019967847,1901.0575921911313,Premium
Hacienda El Sol,Union Agricole Méditerranée,Espagne,Souss-Massa,0.0,Beurre,65.15236256860754,2202.1919200821867,Bio Certifié
Domaine Provence Bio,Marché Wholesale Agadir,Espagne,Californie,0.0,Riz,31.178178716071617,1051.165425007007,Standard
Rungis International,Rungis International,USA,Andalousie,0.0,Riz,198.10143524660273,973.0705773408182,Standard
Dairy Meadows,Hacienda El Sol,USA,Kansas,0.0,Bananes,552.1206180367496,12364.095145219871,Premium
Cooperative Grains Alliance,Ferme Al Baraka,USA,Marrakech-Safi,0.0,Pommes,5.361146525329069,4595.338268596372,Standard
Fazenda Brasil,Coopérative Oasis,Maroc,São Paulo,0.0,Robusta,73.26225185913869,1690.724037665461,Premium
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Toscane,0.0,Arabica,284.40463196289113,2831.67567040622,Premium
Coopérative Oasis,Fazenda Brasil,Italie,Souss-Massa,0.0,Orge,241.9892774491582,1596.9632601766548,Standard
Cooperative Grains Alliance,Fattoria Toscana,Brésil,Souss-Massa,0.0,Medjool,111.68855699866845,1320.4710381219406,Commerce Équitable
Cooperative Grains Alliance,Dairy Meadows,Tunisie,São Paulo,0.0,Olives à Huile,157.86006174883596,1496.0035174376007,Standard
Hacienda El Sol,Domaine Provence Bio,Maroc,Canterbury,0.0,Bananes,278.55929004211254,5451.036524887133,Premium
Domaine Saada,Hacienda El Sol,Brésil,Souss-Massa,0.0,Carottes,44.04714061385755,1211.0946393971328,Standard
Union Agricole Méditerranée,Fazenda Brasil,Tunisie,Sfax,0.0,Pommes,178.10424313732966,1642.3392076546447,Standard
Dairy Meadows,Domaine Provence Bio,France,São Paulo,0.0,Tomates,1454.569954499755,3841.5190882771367,Commerce Équitable
Fazenda Brasil,Domaine Provence Bio,USA,Meknès-Fès,0.0,Pommes,84.36320101780842,1808.6021281091835,Bio Certifié
Hacienda El Sol,Cooperative Grains Alliance,USA,Sfax,0.0,Tomates,90.29352537539587,2400.5920759550686,Bio Certifié
Fazenda Brasil,Union Agricole Méditerranée,Brésil,Meknès-Fès,0.0,Deglet Nour,292.9976104659091,236.74480747085158,Standard
Marché Wholesale Agadir,Cooperative Grains Alliance,Maroc,São Paulo,0.0,Riz,223.2475836799423,-95.55484854837073,Premium
Marché Wholesale Agadir,Fattoria Toscana,Espagne,Kansas,0.0,Oignons,130.47114637403405,2322.8263583356866,Bio Certifié
Fattoria Toscana,Fattoria Toscana,Italie,Catalogne,0.0,Oranges,213.80681303243844,3144.4996779276094,Premium
Fattoria Toscana,Ferme Al Baraka,Italie,São Paulo,0.0,Citrons,267.32753919641834,1996.1324922171316,Standard
Marché Wholesale Agadir,Domaine Saada,France,São Paulo,0.0,Raisins de Table,112.57406982456806,951.5989062241538,Standard
Marché Wholesale Agadir,Mercabarna,France,Souss-Massa,0.0,Raisins de Table,-6.9768928862850075,3875.5016131277525,Standard
Hacienda El Sol,Fazenda Brasil,Maroc,São Paulo,0.0,Bananes,517.3574757226188,1305.5471862419374,Bio Certifié
Domaine Provence Bio,Ferme Al Baraka,Tunisie,São Paulo,0.0,Citrons,47.41431837557094,3302.294999564114,Premium
Dairy Meadows,Marché Wholesale Agadir,USA,São Paulo,0.0,Robusta,185.91887636184805,4892.2369829931495,Bio Certifié
Cooperative Grains Alliance,Dairy Meadows,France,Toscane,0.0,Raisins de Table,950.6972956496879,5524.7673130224375,Bio Certifié
Domaine Provence Bio,Rungis International,Maroc,Toscane,0.0,Pamplemousses,154.88540610003358,3687.0187266797957,Premium
Cooperative Grains Alliance,Dairy Meadows,France,Canterbury,0.0,Olives de Table,53.883840656342855,2613.729198455643,Premium
