id,installation,type_energie,pays,ville,latitude,longitude,capacite_mw,production_annuelle_gwh,emissions_co2,annee_mise_service,statut
id_000444,Parc Solaire Tengger Desert,Solaire,Maroc,Piteå,37.115937146951666,0.8531274074322087,-130,1015.8019960913633,83885.52215350146,2024,Maintenance
id_001800,Centrale Nucléaire de Gravelines,Thermique,Pologne,Bhadla,32.7848688728604,133.028243365092,5574,-148.83737453897902,100551.94423448408,1989,Construction
id_001396,Kori Nuclear Power Plant,Hydraulique,Brésil,Baie-Comeau,45.507450509910505,-56.773640570214134,4255,948.6208461597867,63715.14961581524,2022,Maintenance
id_000252,Barrage des Trois Gorges,Hydraulique,Égypte,Assouan,24.281851127232862,4.324418052678792,245,-56.85720085248499,187448.33381980465,1981,Maintenance
id_001695,Parc Éolien Hornsea One,Éolien,Royaume-Uni,Ouarzazate,45.976739771985066,3.3906371733658296,-294,-977.6564788681014,84508.74587738588,2021,Construction
id_000129,Palo Verde Nuclear,Nucléaire,Canada,Tehachapi,26.41847447760812,115.75685394669436,3323,717.615083404195,181974.69225982856,1980,Planification
id_001807,Parc Solaire Núñez de Balboa,Solaire,Suède,Usagre,-31.29103003161423,-16.682336533946806,-443,114.29727342364436,1531421.0680614924,2023,Démantèlement
id_000748,Bruce Nuclear Generating Station,Thermique,Royaume-Uni,Kimberley,22.822411742869786,-103.83110660411916,19929,912.8284107084971,148906.9156141213,1984,Maintenance
id_000253,Kori Nuclear Power Plant,Nucléaire,Canada,Baie-Comeau,22.351082321179064,5.028219691551358,12502,-815.3148130230215,156916.9092372195,1988,Construction
id_001456,Villanueva Solar Park,Éolien,Canada,Cestas,52.28766703985798,-0.8629824652645627,-360,-405.4050712731455,39980.07851106154,2024,Opérationnelle
id_001302,Parc Éolien London Array,Éolien,USA,Thames Estuary,2.5086241659385156,9.382438768616343,243,516.794278798764,23746.062063760808,2022,Construction
id_000486,Parc Solaire Bhadla,Hydraulique,Brésil,Ouarzazate,34.437409168909824,-70.63509016152295,287,4766.801263614837,1884563.7192990198,1982,Construction
id_000051,Barrage Bin El Ouidane,Solaire,Suède,Yichang,37.6938857698563,3.6406109145330974,-156,6523.098220674774,154828.6704002453,2015,Maintenance
id_001360,Centrale Solaire Weesow-Willmersdorf,Éolien,Afrique du Sud,Lephalale,40.859801039084076,-4.13223199646234,-439,5151.918319716402,111112.35404761348,2016,Opérationnelle
id_000520,Parc Éolien Markbygden,Éolien,Afrique du Sud,Yorkshire,37.670216017743826,5.906283625886185,-220,-613.2820779552087,71017.84527010832,2024,Démantèlement
id_000573,Taichung Power Plant,Nucléaire,Pologne,Busan,50.25973932364264,22.580578242505634,2228,546.1868351152602,29795.654992136777,1984,Opérationnelle
id_001726,Grande Dixence,Hydraulique,Suisse,Assouan,24.632837986460224,1.4421372769047394,126,5310.817236389311,-6853.009681749449,2017,Démantèlement
id_000240,Bełchatów Power Station,Thermique,Pologne,Gravelines,25.44063342592718,101.70010788836106,2799,27995.740251352578,51645.199174729896,1976,Opérationnelle
id_001028,W.A. Parish Generating Station,Nucléaire,USA,Lephalale,35.215166878024974,-14.419898045274886,-673,-429.0641083097614,121008.6825985479,2024,Maintenance
id_000950,Vindhyachal Thermal Power Station,Thermique,Canada,Usagre,34.9796505783735,86.77168270366526,4462,344.097793922087,22087.600830292162,1988,Démantèlement
id_000478,Barrage d'Assouan,Thermique,Brésil,Gravelines,24.879087238070024,22.681174043026033,4088,3229.021265963444,6150842.364131906,1986,Construction
id_001834,Zaporizhzhia Nuclear Power Plant,Nucléaire,Japon,Enerhodar,50.79991236168036,-94.0175937105599,4119,-801.1860278066113,20037.782734195607,1985,Planification
id_001319,W.A. Parish Generating Station,Thermique,Corée du Sud,Thompsons,33.106299268156555,27.48047996760466,3111,-553.3756355179639,118850.15720811125,1987,Démantèlement
id_001326,Taichung Power Plant,Thermique,Japon,Thames Estuary,44.717727350357315,109.14870191940872,5987,4574.96048912798,130473.41210143088,1976,Démantèlement
id_001952,Barrage des Trois Gorges,Hydraulique,Chine,Tonopah,25.52038195817672,-130.1399803891563,2673,3932.5080283780476,171695.52711701085,1988,Construction
id_000257,Barrage d'Itaipu,Hydraulique,Maroc,Tiverton,23.888893499731452,105.78937743128935,3820,1212.6353673650149,113527.85080370723,1981,Démantèlement
id_000469,Palo Verde Nuclear,Thermique,Canada,Kashiwazaki,27.80894962051497,95.03748711785609,2116,15388.668417942992,122782.20535493859,1989,Démantèlement
id_000168,Parc Solaire Tengger Desert,Éolien,Kenya,Loiyangalani,7.36791701243861,17.368140641270188,-43,923.6669943927645,4559279.157745367,2020,Opérationnelle
id_000966,Zaporizhzhia Nuclear Power Plant,Nucléaire,Allemagne,Foz do Iguaçu,22.02877824557966,98.87794841166748,325,-188.04382865354546,45881.305124871564,1993,Maintenance
id_000977,Taichung Power Plant,Thermique,Japon,Lephalale,40.101086420103464,130.74944313938283,3318,282.60743025262207,166523.99542370325,1995,Construction
id_001989,Parc Solaire Núñez de Balboa,Éolien,USA,El Jadida,49.3561903918534,-11.55250275146841,-596,-351.1846858963331,124706.58234495267,2021,Construction
id_001163,Villanueva Solar Park,Éolien,Maroc,Viesca,49.028847390218466,9.82915400911544,-534,1752.743276273366,27148.789337276714,2021,Opérationnelle
id_001170,Centrale Solaire Weesow-Willmersdorf,Éolien,Allemagne,Werneuchen,28.776338615933987,4.760830690389386,389,8913.55399761928,181343.04861505498,2024,Maintenance
id_001219,Villanueva Solar Park,Éolien,Maroc,Azilal,-7.706225754209331,-11.31116623572237,-822,519.5773866562494,5327787.981613801,2024,Opérationnelle
id_001733,Kori Nuclear Power Plant,Solaire,Suède,Courseulles-sur-Mer,36.70335138018414,14.715717474052727,139,888.0037698364278,95366.179902246,1985,Construction
id_000465,Palo Verde Nuclear,Thermique,Ukraine,Tonopah,30.23659492565726,105.14896797675156,4177,7.461526483802118,113203.53900487183,1990,Construction
id_000757,Barrage d'Assouan,Éolien,Maroc,Tanger,39.33517981275076,-13.318125066149056,-861,-1074.0163923010193,80286.82865285978,2025,Maintenance
