produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Vélo Décathlon,Électronique,Zara,151.17053206908008,Soldes -30%,469,Budget,167
AirPods Pro,Beauté,Samsung,169.31472149765693,Aucune,305,Première Commande,172
Aspirateur Dyson V15,Mode,Danone,390.32201516028465,Aucune,529,Standard,417
Vélo Décathlon,Électronique,Apple,401.04053461069054,Aucune,532,Premium,422
Café Arabica,Maison,Nike,-81.12226875712457,Aucune,49,Standard,276
Lampe Philips Hue,Alimentation,Chanel,152.93073848119968,Aucune,277,Première Commande,259
Samsung Galaxy S24,Alimentation,Nike,-128.75742840128243,Aucune,91,Luxe,297
Zara Veste Hiver,Beauté,Décathlon,1138.8051809700478,Aucune,54,Standard,775
Vélo Décathlon,Alimentation,H&M,149.4169504328571,Aucune,357,Standard,493
Chocolat Lindt,Beauté,Chanel,643.9573621585107,Aucune,498,Luxe,364
PlayStation 5,Électronique,IKEA,618.8276409691703,Promo Flash -25%,255,Standard,255
Crème L'Oréal,Sport,L'Oréal,204.0185969690623,Aucune,352,Standard,27
Parfum Chanel N°5,Mode,Terra Bio,-10.217067206205002,Soldes -50%,986,Standard,265
PlayStation 5,Beauté,Sony,-39.70864568280234,Aucune,140,Premium,513
iPhone 15 Pro,Alimentation,Samsung,1021.5782577879296,Promo Flash -25%,551,Budget,971
H&M T-Shirt,Maison,Adidas,328.2368355720332,Aucune,1409,Standard,440
Vélo Décathlon,Mode,Sony,-110.39561369909018,Black Friday -40%,1014,Premium,1037
H&M T-Shirt,Alimentation,L'Oréal,192.10696919761187,Aucune,592,Premium,216
PlayStation 5,Beauté,Philips,-84.95929363024752,3 pour 2,593,Budget,77
iPhone 15 Pro,Beauté,Lavazza,-72.9015697536791,Aucune,342,Premium,425
iPhone 15 Pro,Maison,Décathlon,660.3755686438975,Aucune,318,Première Commande,150
MacBook Air M3,Électronique,Chanel,69.51272131522552,Aucune,346,Premium,304
Lampe Philips Hue,Alimentation,Apple,222.04481785591997,Soldes -30%,506,Budget,84
PlayStation 5,Beauté,Décathlon,25.588048454873046,Aucune,500,Standard,1123
Yaourt Nature,Beauté,Apple,35.82060875137122,Aucune,56,Standard,412
Canapé IKEA Ektorp,Électronique,Apple,80.46027567624782,Aucune,874,Standard,1295
Crème L'Oréal,Alimentation,Danone,8.331775363042901,Aucune,499,Standard,341
Huile d'Olive Bio,Mode,Dyson,842.6942753089919,Aucune,223,Luxe,459
Ballon Nike,Beauté,Lavazza,681.3278688545745,Aucune,567,Premium,411
Parfum Chanel N°5,Alimentation,Sony,-84.09420752749247,Aucune,589,Budget,2576
