id,type_logement,surface,pieces,chambres,salles_bain,chauffage,standing,classe_energie,prix,parking,jardin
BIEN_000849,Loft,263,7,5,2,Pompe à chaleur,Haut standing,G,6219470,Oui,Oui
BIEN_000300,Appartement,329,1,0,1,Pompe à chaleur,Moyen,B,3651196,Non,Non
BIEN_000900,Maison,42,5,4,1,Électrique,Standard,D,404183,Non,Oui
BIEN_000852,Loft,144,6,3,2,Pompe à chaleur,Moyen,D,2503127,Oui,Non
BIEN_000297,Villa,226,8,2,3,Électrique,Moyen,F,4983255,Oui,Oui
BIEN_000511,Appartement,263,3,4,2,Chauffage central,Standard,E,4165898,Oui,Oui
BIEN_000394,Appartement,230,3,1,2,Gaz,Haut standing,D,4097423,Non,Non
BIEN_000555,Appartement,105,8,0,1,Gaz,Haut standing,G,4814363,Non,Non
BIEN_000358,Appartement,115,1,0,2,Pompe à chaleur,Haut standing,B,2268155,Non,Non
BIEN_000692,Appartement,66,2,3,1,Gaz,Moyen,E,2802891,Non,Non
BIEN_000552,Studio,186,8,2,1,Autre,Moyen,E,3508191,Non,Non
BIEN_000206,Appartement,126,5,0,3,Électrique,Haut standing,G,4410562,Oui,Non
BIEN_000025,Appartement,227,2,1,1,Gaz,Moyen,G,2061495,Non,Non
BIEN_000220,Appartement,101,7,3,3,Chauffage central,Haut standing,G,241042,Oui,Non
BIEN_000386,Villa,215,3,3,3,Gaz,Haut standing,G,5620223,Oui,Oui
BIEN_000898,Duplex,316,4,5,3,Chauffage central,Haut standing,D,1775011,Non,Oui
BIEN_000025,Duplex,38,7,0,1,Pompe à chaleur,Haut standing,C,1592414,Non,Non
BIEN_000121,Appartement,185,7,3,3,Chauffage central,Haut standing,G,6388712,Oui,Non
BIEN_000220,Appartement,160,1,0,1,Électrique,Haut standing,F,1921321,Non,Non
BIEN_000305,Appartement,233,7,2,2,Pompe à chaleur,Luxe,Non renseigné,2643112,Oui,Oui
BIEN_000407,Maison,264,3,2,2,Pompe à chaleur,Standard,F,3986484,Oui,Oui
BIEN_000602,Maison,152,4,1,4,Pompe à chaleur,Standard,G,6858646,Oui,Oui
BIEN_000439,Appartement,198,5,2,1,Fioul,Haut standing,Non renseigné,351668,Oui,Non
BIEN_000657,Appartement,176,4,2,1,Climatisation réversible,Moyen,F,2012778,Non,Non
BIEN_000524,Villa,4836,0,5,5,Climatisation réversible,Haut standing,B,3053718,Non,Oui
BIEN_000029,Appartement,60,7,0,1,Électrique,Standard,F,2879482,Non,Oui
BIEN_000728,Appartement,165,5,5,0,Chauffage central,Moyen,G,5907587,Oui,Non
BIEN_000534,Appartement,97,8,0,1,Gaz,Haut standing,F,4866218,Oui,Non
BIEN_000176,Villa,-1,3,2,1,Fioul,Haut standing,F,3775673,Oui,Non
BIEN_000604,Villa,177,4,3,3,Gaz,Haut standing,G,5763089,Oui,Oui
BIEN_000640,Appartement,-50,4,1,1,Électrique,Standard,G,4170129,Non,Non
BIEN_000602,Maison,234,6,4,2,Pompe à chaleur,Haut standing,A,3221162,Oui,Non
